Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
PF09346	SMI1 / KNR4 family (SUKH-1)	pfam	domain	IPR018958		
PF09349	OHCU decarboxylase	pfam	domain	IPR018020		
PF09350	Domain of unknown function (DUF1992)	pfam	domain	IPR018961		
PF09354	HNF3 C-terminal domain	pfam	domain	IPR018533		
PF09358	Ubiquitin fold domain	pfam	domain	IPR018965		
PF09360	Iron-binding zinc finger CDGSH type	pfam	domain	IPR018967		
PF09368	Sas10 C-terminal domain	pfam	domain	IPR018972		
PF09371	Tex-like protein N-terminal domain	pfam	domain	IPR018974		
PF09377	SBDS protein C-terminal domain	pfam	domain	IPR018978		
PF09379	"FERM N-terminal domain "	pfam	domain	IPR018979		
PF09380	FERM C-terminal PH-like domain	pfam	domain	IPR018980		
PF09382	RQC domain	pfam	domain	IPR018982		
PF09384	UTP15 C terminal	pfam	family	IPR018983		
PF09387	Mitochondrial RNA binding protein MRP	pfam	domain	IPR032680		
PF09396	Thrombin light chain	pfam	domain	IPR018992		
PF09398	FOP N terminal dimerisation domain	pfam	domain	IPR018993		
PF09402	Man1-Src1p-C-terminal domain	pfam	domain	IPR018996		
PF09404	KICSTOR complex C12orf66 like	pfam	family	IPR018544		
PF09405	CASC3/Barentsz eIF4AIII binding	pfam	domain	IPR018545		
PF09409	PUB domain	pfam	domain	IPR018997		
PF09412	Endoribonuclease XendoU	pfam	family	IPR018998		
PF09415	CENP-S associating Centromere protein X	pfam	domain	IPR018552		
PF09416	RNA helicase (UPF2 interacting domain)	pfam	domain	IPR018999		
PF09420	Ribosome biogenesis protein Nop16	pfam	family	IPR019002		
PF09422	WTX protein	pfam	family	IPR019003		
PF09429	WW domain binding protein 11	pfam	family	IPR019007		
PF09430	Protein of unknown function (DUF2012)	pfam	family	IPR019008		
PF09431	Protein of unknown function (DUF2013)	pfam	family	IPR018556		
PF09439	Signal recognition particle receptor beta subunit	pfam	domain	IPR019009		
PF09440	eIF3 subunit 6 N terminal domain	pfam	domain	IPR019010		
PF09443	Cripto_Frl-1_Cryptic (CFC)	pfam	domain	IPR019011		
PF09445	RNA cap guanine-N2 methyltransferase	pfam	family	IPR019012		
PF09446	VMA21-like domain	pfam	domain	IPR019013		
PF09454	Vps23 core domain	pfam	domain	IPR017916		
PF09457	"FIP domain "	pfam	conserved_site	IPR019018		
PF09465	Lamin-B receptor of TUDOR domain	pfam	domain	IPR019023		
PF09468	Ydr279p protein family (RNase H2 complex component) wHTH domain	pfam	domain	IPR019024		
PF09469	Cordon-bleu ubiquitin-like domain	pfam	domain	IPR019025		
PF09470	Telethonin protein	pfam	domain	IPR015667		
PF09494	Slx4 endonuclease	pfam	domain	IPR018574		
PF09495	Protein of unknown function (DUF2462)	pfam	family	IPR019034		
PF09496	Cenp-O kinetochore centromere component	pfam	family	IPR018464		
PF09497	Transcription mediator complex subunit Med12	pfam	domain	IPR019035		
PF09507	DNA polymerase subunit Cdc27	pfam	family	IPR019038		
PF09514	SSXRD motif	pfam	conserved_site	IPR019041		
PF09531	Nucleoporin protein Ndc1-Nup	pfam	family	IPR019049		
PF09532	FDF domain	pfam	domain	IPR019050		
PF09588	YqaJ-like viral recombinase domain	pfam	domain	IPR019080		
PF09596	MamL-1 domain	pfam	domain	IPR019082		
PF09606	ARC105 or Med15 subunit of Mediator complex non-fungal	pfam	family	IPR019087		
PF09607	Brinker DNA-binding domain	pfam	domain	IPR018586		
PF09631	Sen15 protein	pfam	domain	IPR018593		
PF09637	Med18 protein	pfam	domain	IPR019095		
PF09649	Histone chaperone domain CHZ	pfam	domain	IPR019098		
PF09666	Sororin protein	pfam	family	IPR018605		
PF09667	Domain of unknown function (DUF2028)	pfam	family	IPR019102		
PF09668	Aspartyl protease	pfam	family	IPR019103		
PF09696	Ctf8	pfam	family	IPR018607		
PF09724	Sister chromatid cohesion protein Dcc1	pfam	family	IPR019128		
PF09725	Folate-sensitive fragile site protein Fra10Ac1	pfam	family	IPR019129		
PF09726	Macoilin family	pfam	family	IPR019130		
PF09727	Cortactin-binding protein-2	pfam	family	IPR019131		
PF09728	Myosin-like coiled-coil protein	pfam	unknown	IPR026183		
PF09730	Microtubule-associated protein Bicaudal-D	pfam	unknown	IPR018477		
PF09731	Mitochondrial inner membrane protein	pfam	family	IPR019133		
PF09732	Cactus-binding C-terminus of cactin protein	pfam	domain	IPR019134		
PF09733	VEFS-Box of polycomb protein	pfam	family	IPR019135		
PF09734	RNA polymerase III transcription factor (TF)IIIC subunit HTH domain	pfam	family	IPR019136		
PF09735	Membrane-associated apoptosis protein	pfam	family	IPR019137		
PF09736	Pre-mRNA-splicing factor of RES complex	pfam	family	IPR018609		
PF09737	De-etiolated protein 1 Det1	pfam	family	IPR019138		
PF09738	LRRFIP family	pfam	family	IPR019139		
PF09739	Mini-chromosome maintenance replisome factor	pfam	family	IPR019140		
PF09740	Uncharacterized conserved protein (DUF2043)	pfam	family	IPR018610		
PF09741	Uncharacterized conserved protein (DUF2045)	pfam	family	IPR019141		
PF09742	Dyggve-Melchior-Clausen syndrome protein	pfam	family			
PF09743	E3 UFM1-protein ligase 1	pfam	family	IPR018611		
PF09744	JNK_SAPK-associated protein-1	pfam	family	IPR019143		
PF09745	Coiled-coil domain-containing protein 55 (DUF2040)	pfam	unknown	IPR018612		
PF09746	Tumour-associated protein	pfam	family	IPR019144		
PF09747	Coiled-coil domain containing protein (DUF2052)	pfam	unknown	IPR040233		
PF09748	Transcription factor subunit Med10 of Mediator complex	pfam	family	IPR019145		
PF09749	Uncharacterised conserved protein	pfam	family	IPR027521		
PF09750	"Alternative splicing regulator  "	pfam	domain	IPR019147		
PF09751	Nuclear protein Es2	pfam	family	IPR019148		
PF09752	"Alpha/beta hydrolase domain containing 18 "	pfam	family	IPR019149		
PF09753	Membrane fusion protein Use1	pfam	family	IPR019150		
PF09754	PAC2 family	pfam	family	IPR019151		
PF09755	Uncharacterized conserved protein H4 (DUF2046)	pfam	unknown	IPR019152		
PF09756	DDRGK domain	pfam	family	IPR019153		
PF09758	Uncharacterised conserved protein	pfam	family	IPR019155		
PF09759	Spinocerebellar ataxia type 10 protein domain	pfam	repeat	IPR019156		
PF09762	CCDC93, coiled-coil domain	pfam	unknown	IPR019159		
PF09763	Exocyst complex component Sec3	pfam	family	IPR019160		
PF09764	N-terminal glutamine amidase	pfam	family	IPR023128		
PF09765	FANCL UBC-like domain 1	pfam	domain	IPR019162		
PF09766	Fms-interacting protein/Thoc5	pfam	family	IPR019163		
PF09767	Predicted membrane protein (DUF2053)	pfam	family	IPR019164		
PF09768	Peptidase M76 family	pfam	family	IPR019165		
PF09769	Apolipoprotein O	pfam	family	IPR019166		
PF09770	Topoisomerase II-associated protein PAT1	pfam	family	IPR019167		
PF09771	Transmembrane protein 188	pfam	family	IPR019168		
PF09772	Transmembrane protein 26	pfam	family	IPR019169		
PF09773	Meckelin (Transmembrane protein 67)	pfam	family	IPR019170		
PF09774	Caffeine-induced death protein 2	pfam	family	IPR019171		
PF09775	Keratinocyte-associated protein 2	pfam	family	IPR018614		
PF09776	Mitochondrial ribosomal protein L55	pfam	family	IPR018615		
PF09777	Osteopetrosis-associated transmembrane protein 1 precursor	pfam	family	IPR019172		
PF09778	Guanylylate cyclase	pfam	family	IPR018616		
PF09779	Ima1 N-terminal domain	pfam	family	IPR018617		
PF09781	NADH:ubiquinone oxidoreductase, NDUFB5/SGDH subunit	pfam	family	IPR019173		
PF09782	NADH:ubiquinone oxidoreductase, NDUFB6/B17 subunit	pfam	family	IPR019174		
PF09783	Vacuolar import and degradation protein	pfam	family	IPR018618		
PF09785	Prp31 C terminal domain	pfam	family	IPR019175		
PF09786	Cytochrome B561, N terminal	pfam	family	IPR019176		
PF09787	Golgin subfamily A member 5	pfam	unknown	IPR019177		
PF09788	Transmembrane protein 55A	pfam	family	IPR019178		
PF09789	Uncharacterized coiled-coil protein (DUF2353)	pfam	unknown	IPR019179		
PF09790	Hyccin	pfam	family	IPR018619		
PF09791	Oxidoreductase-like protein, N-terminal	pfam	family	IPR019180		
PF09793	Anticodon-binding domain	pfam	domain	IPR019181		
PF09794	Transport protein Avl9	pfam	family	IPR018307		
PF09797	N-acetyltransferase B complex (NatB) non catalytic subunit	pfam	family	IPR019183		
PF09799	Predicted membrane protein	pfam	family	IPR019184		
PF09801	Integral membrane protein S linking to the trans Golgi network	pfam	family	IPR019185		
PF09803	Pet100	pfam	family	IPR018625		
PF09804	DENN domain-containing protein 11	pfam	family	IPR018626		
PF09805	Nucleolar protein 12 (25kDa)	pfam	family	IPR019186		
PF09806	Cyclin-dependent kinase 2-associated protein	pfam	family	IPR017266		
PF09807	Elongation complex protein 6	pfam	family	IPR018627		
PF09808	Small nuclear RNA activating complex (SNAPc), subunit 1	pfam	family	IPR019188		
PF09809	Mitochondrial ribosomal protein L27	pfam	family	IPR019189		
PF09810	Exonuclease V - a 5' deoxyribonuclease	pfam	family	IPR019190		
PF09811	Essential protein Yae1, N terminal	pfam	family	IPR019191		
PF09812	Mitochondrial ribosomal protein L28	pfam	family	IPR019192		
PF09813	Coiled-coil domain-containing protein 56	pfam	unknown	IPR018628		
PF09814	HECT-like Ubiquitin-conjugating enzyme (E2)-binding	pfam	domain	IPR019193		
PF09815	XK-related protein	pfam	family	IPR018629		
PF09816	RNA polymerase II transcription elongation factor	pfam	domain	IPR019194		
PF09817	RZZ complex, subunit zwilch	pfam	family	IPR018630		
PF09822	ABC-type uncharacterized transport system	pfam	family	IPR019196		
PF09825	Biotin-protein ligase, N terminal	pfam	family	IPR019197		
PF09832	Uncharacterized protein conserved in bacteria (DUF2059)	pfam	family	IPR018637		
PF09848	Uncharacterized conserved protein (DUF2075)	pfam	family	IPR018647		
PF09976	Tetratricopeptide repeat-like domain	pfam	repeat	IPR018704		
PF09992	Phosphodiester glycosidase	pfam	domain	IPR018711		
PF10018	Vitamin-D-receptor interacting Mediator subunit 4	pfam	family	IPR019258		
PF10033	Autophagy-related protein 13	pfam	family	IPR018731		
PF10034	Q-cell neuroblast polarisation	pfam	family	IPR018732		
PF10036	RNA transcription, translation and transport factor protein	pfam	family	IPR019265		
PF10037	Mitochondrial 28S ribosomal protein S27	pfam	repeat	IPR034913		
PF10044	Retinal tissue protein	pfam	family	IPR018737		
PF10046	"Biogenesis of lysosome-related organelles complex-1 subunit 2 "	pfam	unknown	IPR019269		
PF10058	Predicted integral membrane zinc-ribbon metal-binding protein	pfam	family	IPR019273		
PF10075	CSN8/PSMD8/EIF3K family	pfam	family	IPR033464		
PF10146	"Zinc finger-containing protein "	pfam	family	IPR018482		
PF10147	Growth arrest and DNA-damage-inducible proteins-interacting protein 1	pfam	family	IPR018472		
PF10148	Schwannomin-interacting protein 1	pfam	family	IPR015649		
PF10149	Transmembrane protein 231	pfam	family	IPR019306		
PF10151	TMEM214, C-terminal, caspase 4 activator	pfam	family	IPR019308		
PF10152	Subunit CCDC53 of WASH complex	pfam	unknown	IPR019309		
PF10154	Uncharacterised conserved protein (DUF2362)	pfam	family	IPR019311		
PF10155	CCR4-NOT transcription complex subunit 11	pfam	family	IPR019312		
PF10156	Subunit 17 of Mediator complex	pfam	family	IPR019313		
PF10157	BLOC-1-related complex sub-unit 6	pfam	family	IPR019314		
PF10158	Tumour suppressor protein	pfam	family	IPR018780		
PF10159	Multiple myeloma tumor-associated	pfam	domain	IPR019315		
PF10160	Predicted membrane protein	pfam	family	IPR018781		
PF10161	Putative mitochondrial precursor protein	pfam	family	IPR018782		
PF10162	G8 domain	pfam	domain	IPR019316		
PF10163	Transcription factor e(y)2	pfam	family	IPR018783		
PF10164	Uncharacterized conserved protein (DUF2367)	pfam	family	IPR019317		
PF10165	Guanine nucleotide exchange factor synembryn	pfam	family	IPR019318		
PF10166	Uncharacterised conserved protein (DUF2368)	pfam	family	IPR019319		
PF10167	BLOC-1-related complex sub-unit 8	pfam	family	IPR019320		
PF10168	Nuclear pore component	pfam	family	IPR019321		
PF10169	Learning-associated protein	pfam	family	IPR018784		
PF10170	Cysteine-rich domain	pfam	domain	IPR018785		
PF10171	Translocase of the Inner Mitochondrial membrane 29	pfam	family	IPR019322		
PF10172	Det1 complexing ubiquitin ligase	pfam	family	IPR018276		
PF10174	RIM-binding protein of the cytomatrix active zone	pfam	unknown	IPR019323		
PF10175	M-phase phosphoprotein 6	pfam	family	IPR019324		
PF10176	Protein of unknown function (DUF2370)	pfam	family	IPR019325		
PF10177	Uncharacterised conserved protein (DUF2371)	pfam	family	IPR018787		
PF10178	Proteasome assembly chaperone 3	pfam	family	IPR018788		
PF10179	Neuron-derived neurotrophic factor	pfam	family	IPR019326		
PF10180	WKF domain	pfam	domain	IPR019327		
PF10181	GPI-GlcNAc transferase complex, PIG-H component	pfam	family	IPR019328		
PF10183	"ESSS subunit of NADH:ubiquinone oxidoreductase (complex I) "	pfam	family	IPR019329		
PF10184	Uncharacterized conserved protein (DUF2358)	pfam	family	IPR018790		
PF10185	Chaperone for wingless signalling and trafficking of LDL receptor	pfam	family	IPR019330		
PF10186	Vacuolar sorting 38 and autophagy-related subunit 14	pfam	family	IPR018791		
PF10187	FAM192A/Fyv6, N-terminal domain	pfam	domain	IPR019331		
PF10188	Organic solute transport protein 1	pfam	family	IPR019332		
PF10189	"Integrator complex subunit 3 N-terminal "	pfam	domain	IPR019333		
PF10190	Putative transmembrane protein 170	pfam	family	IPR019334		
PF10191	Golgi complex component 7 (COG7)	pfam	family	IPR019335		
PF10192	Rhodopsin-like GPCR transmembrane domain	pfam	family	IPR019336		
PF10193	Telomere length regulation protein	pfam	family	IPR019337		
PF10195	DNA-binding nuclear phosphoprotein p8	pfam	family	IPR018792		
PF10197	N-terminal domain of CBF1 interacting co-repressor CIR	pfam	domain	IPR019339		
PF10198	Histone acetyltransferases subunit 3	pfam	family	IPR019340		
PF10199	Alpha and gamma adaptin binding protein p34	pfam	family			
PF10200	NADH:ubiquinone oxidoreductase, NDUFS5-15kDa	pfam	family	IPR019342		
PF10203	Cytochrome c oxidase assembly protein PET191	pfam	family	IPR018793		
PF10204	Dual oxidase maturation factor	pfam	family	IPR018469		
PF10205	Predicted coiled-coil domain-containing protein	pfam	unknown	IPR019343		
PF10206	Mitochondrial F1F0-ATP synthase, subunit f	pfam	family	IPR019344		
PF10208	ARMET, C-terminal	pfam	domain	IPR019345		
PF10209	Uncharacterized conserved protein (DUF2340)	pfam	family	IPR018794		
PF10210	Mitochondrial 28S ribosomal protein S32	pfam	family	IPR019346		
PF10211	Axonemal dynein light chain	pfam	family	IPR019347		
PF10212	Predicted coiled-coil domain-containing protein	pfam	unknown	IPR019348		
PF10213	"Mitochondrial ribosomal subunit protein "	pfam	family	IPR019349		
PF10215	"Oligosaccaryltransferase  "	pfam	family	IPR018943		
PF10217	Uncharacterized conserved protein (DUF2039)	pfam	family	IPR019351		
PF10218	SREBP regulating gene protein	pfam	family	IPR019352		
PF10220	"Smg8_Smg9 "	pfam	family	IPR019354		
PF10221	Cell cycle and development regulator	pfam	family	IPR019355		
PF10222	Uncharacterized conserved protein (DUF2152)	pfam	family	IPR018795		
PF10223	Uncharacterized conserved protein (DUF2181)	pfam	family	IPR019356		
PF10224	Short coiled-coil protein	pfam	unknown	IPR019357		
PF10225	"NEMP family "	pfam	family	IPR019358		
PF10226	CCDC85 family	pfam	family	IPR019359		
PF10228	Uncharacterised conserved protein (DUF2228)	pfam	family	IPR019361		
PF10229	Methylmalonic aciduria and homocystinuria type D protein	pfam	family	IPR019362		
PF10230	Lipid-droplet associated hydrolase	pfam	family	IPR019363		
PF10231	Apoptogenic protein 1	pfam	family	IPR018796		
PF10232	Mediator of RNA polymerase II transcription complex subunit 8	pfam	family	IPR019364		
PF10233	Uncharacterized conserved protein CG6151-P	pfam	domain	IPR019365		
PF10234	Clusterin-associated protein-1	pfam	family	IPR019366		
PF10235	Microtubule-associated protein CRIPT	pfam	family	IPR019367		
PF10236	Mitochondrial ribosomal death-associated protein 3	pfam	family	IPR019368		
PF10237	Probable N6-adenine methyltransferase	pfam	family	IPR041370		
PF10238	E2F-associated phosphoprotein	pfam	family	IPR019370		
PF10239	Protein of unknown function (DUF2465)	pfam	family	IPR018797		
PF10240	Multivesicular body subunit 12	pfam	family	IPR018798		
PF10241	Uncharacterized conserved protein	pfam	domain	IPR019371		
PF10242	Lipoma HMGIC fusion partner-like protein	pfam	family	IPR019372		
PF10243	Microtubule-binding protein MIP-T3 CH-like domain	pfam	domain	IPR040468		
PF10244	Mitochondrial ribosomal subunit	pfam	family	IPR019373		
PF10245	Mitochondrial 28S ribosomal protein S22	pfam	family	IPR019374		
PF10246	Mitochondrial ribosomal protein MRP-S35	pfam	family	IPR019375		
PF10247	Reactive mitochondrial oxygen species modulator 1	pfam	family	IPR018450		
PF10248	Myelodysplasia-myeloid leukemia factor 1-interacting protein	pfam	family	IPR019376		
PF10249	NADH-ubiquinone oxidoreductase subunit 10	pfam	family	IPR019377		
PF10250	GDP-fucose protein O-fucosyltransferase	pfam	family	IPR019378		
PF10251	Presenilin enhancer-2 subunit of gamma secretase	pfam	family	IPR019379		
PF10252	Casein kinase substrate phosphoprotein PP28	pfam	domain	IPR019380		
PF10253	Mitotic checkpoint regulator, MAD2B-interacting	pfam	family	IPR018800		
PF10254	PACS-1 cytosolic sorting protein	pfam	family	IPR019381		
PF10255	RNA polymerase I-associated factor PAF67	pfam	repeat	IPR019382		
PF10256	Golgin subfamily A member 7/ERF4 family	pfam	domain	IPR019383		
PF10257	Retinoic acid induced 16-like protein	pfam	family	IPR019384		
PF10258	PHAX RNA-binding domain	pfam	domain	IPR019385		
PF10259	Rogdi leucine zipper containing protein	pfam	family	IPR028241		
PF10260	Uncharacterized conserved domain (SAYSvFN)	pfam	domain	IPR019387		
PF10261	Inositol phospholipid synthesis and fat-storage-inducing TM	pfam	family	IPR019388		
PF10262	Rdx family	pfam	family	IPR011893		
PF10263	SprT-like family	pfam	domain	IPR006640		
PF10264	Winged helix Storkhead-box1 domain	pfam	family	IPR019391		
PF10265	Mitoguardin	pfam	family	IPR019392		
PF10266	Hereditary spastic paraplegia protein strumpellin	pfam	family	IPR019393		
PF10267	Predicted transmembrane and coiled-coil 2 protein	pfam	unknown	IPR019394		
PF10268	Predicted transmembrane protein 161AB	pfam	family	IPR019395		
PF10269	"Transmembrane Fragile-X-F protein "	pfam	family	IPR019396		
PF10270	Membrane magnesium transporter	pfam	family	IPR018937		
PF10271	Putative transmembrane protein	pfam	family	IPR019397		
PF10272	Putative transmembrane protein precursor	pfam	family	IPR018801		
PF10273	Pre-rRNA-processing protein TSR2	pfam	family	IPR019398		
PF10274	Parkin co-regulated protein	pfam	repeat	IPR019399		
PF10275	Peptidase C65 Otubain	pfam	family	IPR019400		
PF10276	Zinc-finger domain	pfam	domain	IPR019401		
PF10277	Frag1/DRAM/Sfk1 family	pfam	family	IPR019402		
PF10278	"Mediator of RNA pol II transcription subunit 19 "	pfam	family	IPR019403		
PF10280	"Mediator complex protein "	pfam	family	IPR019404		
PF10283	PBZ domain	pfam	domain	IPR019406		
PF10288	Cytoplasmic tRNA 2-thiolation protein 2	pfam	family	IPR019407		
PF10291	Muniscin C-terminal mu homology domain	pfam	domain	IPR018808		
PF10294	Lysine methyltransferase	pfam	family	IPR019410		
PF10300	Protein of unknown function (DUF3808)	pfam	repeat	IPR019412		
PF10304	Required for nuclear transport of RNA pol II C-terminus 2	pfam	family	IPR019414		
PF10309	"Nuclear cap-binding protein subunit 3 "	pfam	family	IPR019416		
PF10312	Conserved mid region of cactin	pfam	family	IPR018816		
PF10341	Shelterin complex subunit, TPP1/ACD	pfam	family	IPR019437		
PF10343	Potential Queuosine, Q, salvage protein family	pfam	family	IPR019438		
PF10344	Mitochondrial protein from FMP27	pfam	family	IPR019439		
PF10345	Cohesin loading factor	pfam	repeat	IPR019440		
PF10347	RNA pol II promoter Fmp27 protein domain	pfam	domain	IPR019441		
PF10350	Putative death-receptor fusion protein (DUF2428)	pfam	family	IPR019442		
PF10351	Golgi-body localisation protein domain	pfam	family	IPR019443		
PF10354	Domain of unknown function (DUF2431)	pfam	domain	IPR019446		
PF10357	Domain of Kin17 curved DNA-binding protein	pfam	family	IPR019447		
PF10358	N-terminal C2 in EEIG1 and EHBP1 proteins	pfam	domain	IPR019448		
PF10363	Required for nuclear transport of RNA pol II C-terminus 1	pfam	family	IPR019451		
PF10366	Vacuolar sorting protein 39 domain 1	pfam	repeat	IPR019452		
PF10367	Vacuolar sorting protein 39 domain 2	pfam	domain	IPR019453		
PF10373	Est1 DNA/RNA binding domain	pfam	repeat	IPR018834		
PF10374	Telomerase activating protein Est1	pfam	repeat	IPR019458		
PF10376	"Double-strand recombination repair protein  "	pfam	family	IPR018468		
PF10377	Autophagy-related protein 11	pfam	family	IPR019460		
PF10382	Protein of unknown function (DUF2439)	pfam	family	IPR018838		
PF10384	Centromere protein Scm3	pfam	family	IPR018465		
PF10390	"RNA polymerase II elongation factor ELL  "	pfam	family	IPR019464		
PF10391	Fingers domain of DNA polymerase lambda	pfam	domain	IPR018944		
PF10392	Golgi transport complex subunit 5	pfam	family	IPR019465		
PF10393	Trimeric coiled-coil oligomerisation domain of matrilin	pfam	unknown	IPR019466		
PF10394	Histone acetyl transferase HAT1 N-terminus	pfam	domain	IPR019467		
PF10396	GTP-binding protein TrmE N-terminus	pfam	family	IPR018948		
PF10397	Adenylosuccinate lyase C-terminus	pfam	domain	IPR019468		
PF10401	Interferon-regulatory factor 3	pfam	family	IPR019471		
PF10403	Rad4 beta-hairpin domain 1	pfam	domain	IPR018326		
PF10404	Rad4 beta-hairpin domain 2	pfam	domain	IPR018327		
PF10405	Rad4 beta-hairpin domain 3	pfam	domain	IPR018328		
PF10406	"Transcription factor TFIID complex subunit 8 C-term "	pfam	domain	IPR019473		
PF10408	Ubiquitin elongating factor core	pfam	family	IPR019474		
PF10409	C2 domain of PTEN tumour-suppressor protein	pfam	domain	IPR014020		
PF10413	Amino terminal of the G-protein receptor rhodopsin	pfam	domain	IPR019477		
PF10415	Fumarase C C-terminus	pfam	domain	IPR018951		
PF10417	C-terminal domain of 1-Cys peroxiredoxin	pfam	domain	IPR019479		
PF10419	TFIIIC subunit triple barrel domain	pfam	domain	IPR019481		
PF10420	Cytokine interleukin-12p40 C-terminus	pfam	domain	IPR019482		
PF10421	"2'-5'-oligoadenylate synthetase 1, domain 2, C-terminus "	pfam	domain	IPR018952		
PF10426	Recombination-activating protein 1 zinc-finger domain	pfam	domain	IPR019485		
PF10427	Argonaute hook	pfam	family	IPR019486		
PF10430	Tie-2 Ig-like domain 1	pfam	domain	IPR018941		
PF10431	"C-terminal, D2-small domain, of ClpB protein "	pfam	domain	IPR019489		
PF10433	Mono-functional DNA-alkylating methyl methanesulfonate N-term	pfam	domain	IPR018846		
PF10436	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase	pfam	family	IPR018955		
PF10441	Urb2/Npa2 family	pfam	family	IPR018849		
PF10442	FIST C domain	pfam	domain	IPR019494		
PF10444	Nbl1 / Borealin N terminal	pfam	family	IPR018851		
PF10447	Exosome component EXOSC1/CSL4	pfam	domain	IPR019495		
PF10453	Nuclear fragile X mental retardation-interacting protein 1 (NUFIP1)	pfam	family	IPR019496		
PF10456	WASP-binding domain of Sorting nexin protein	pfam	domain	IPR019497		
PF10457	Cholesterol-capturing domain	pfam	domain	IPR019498		
PF10461	Peptidase S68	pfam	family	IPR019502		
PF10469	AKAP7 2'5' RNA ligase-like domain	pfam	domain	IPR019510		
PF10470	PKA-RI-RII subunit binding domain of A-kinase anchor protein	pfam	domain	IPR019511		
PF10471	Anaphase-promoting complex APC subunit CDC26	pfam	family	IPR018860		
PF10472	eIF2-alpha phosphatase phosphorylation constitutive repressor	pfam	domain	IPR019512		
PF10473	Leucine-rich repeats of kinetochore protein Cenp-F/LEK1	pfam	unknown	IPR019513		
PF10474	Protein of unknown function C-terminus (DUF2451)	pfam	family	IPR019514		
PF10475	"Vacuolar-sorting protein 54, of GARP complex "	pfam	family	IPR019515		
PF10476	"Protein of unknown function C-terminus (DUF2448) "	pfam	family	IPR018861		
PF10477	Nucleocytoplasmic shuttling protein for mRNA cap-binding EIF4E	pfam	family	IPR018862		
PF10479	Fragile site-associated protein C-terminus	pfam	family	IPR018863		
PF10480	Beta-1 integrin binding protein	pfam	domain	IPR019517		
PF10481	Cenp-F N-terminal domain	pfam	unknown	IPR018463		
PF10482	Tumour-suppressor protein CtIP N-terminal domain	pfam	unknown	IPR019518		
PF10483	Elongator subunit Iki1	pfam	family	IPR019519		
PF10484	Mitochondrial ribosomal protein S23	pfam	family	IPR023611		
PF10486	Phosphoinositide 3-kinase gamma adapter protein p101 subunit	pfam	family	IPR019522		
PF10487	Nucleoporin subcomplex protein binding to Pom34	pfam	family	IPR018864		
PF10488	Phosphatase-1 catalytic subunit binding region	pfam	domain	IPR019523		
PF10490	Rb-binding domain of kinetochore protein Cenp-F/LEK1	pfam	domain	IPR018302		
PF10491	NLS-binding and DNA-binding and dimerisation domains of Nrf1	pfam	family	IPR019525		
PF10492	Nrf1 activator activation site binding domain	pfam	domain	IPR019526		
PF10493	Rough deal protein C-terminal region	pfam	family	IPR019527		
PF10494	Serine-threonine protein kinase 19	pfam	family	IPR018865		
PF10495	Pericentrin-AKAP-450 domain of centrosomal targeting protein	pfam	domain	IPR019528		
PF10496	"SNARE-complex protein Syntaxin-18 N-terminus "	pfam	domain	IPR019529		
PF10497	Zinc-finger domain of monoamine-oxidase A repressor R1	pfam	domain	IPR018866		
PF10498	"Intra-flagellar transport protein 57  "	pfam	family	IPR019530		
PF10500	Nuclear RNA-splicing-associated protein	pfam	unknown	IPR019532		
PF10501	Ribosomal subunit 39S	pfam	domain	IPR018305		
PF10502	"Signal peptidase, peptidase S26 "	pfam	domain	IPR019533		
PF10504	Protein of unknown function (DUF2452)	pfam	family	IPR019534		
PF10505	NMDA receptor-regulated gene protein 2 C-terminus	pfam	domain	IPR019535		
PF10506	PDZ domain of MCC-2 bdg protein for Usher syndrome	pfam	domain	IPR019536		
PF10507	"Transmembrane protein 65 "	pfam	family	IPR019537		
PF10508	Proteasome non-ATPase 26S subunit	pfam	repeat	IPR019538		
PF10509	Galactokinase galactose-binding signature	pfam	domain	IPR019539		
PF10510	Phosphatidylinositol-glycan biosynthesis class S protein	pfam	family	IPR019540		
PF10511	Trappin protein transglutaminase binding domain	pfam	family	IPR019541		
PF10512	"Cell division cycle-associated protein 8 "	pfam	family	IPR018867		
PF10513	Enhancer of polycomb-like	pfam	family	IPR019542		
PF10514	Pro-apoptotic Bcl-2 protein, BAD	pfam	family	IPR018868		
PF10515	Beta-amyloid precursor protein C-terminus	pfam	family	IPR019543		
PF10516	SHNi-TPR	pfam	repeat	IPR019544		
PF10520	Lipid desaturase domain	pfam	domain	IPR019547		
PF10521	"Tti2 family "	pfam	family	IPR018870		
PF10522	RII binding domain	pfam	conserved_site	IPR018459		
PF10523	BEN domain	pfam	domain	IPR018379		
PF10524	Nuclear factor I protein pre-N-terminus	pfam	family	IPR019548		
PF10525	Engrailed homeobox C-terminal signature domain	pfam	domain	IPR019549		
PF10529	Histidine-rich Calcium-binding repeat region	pfam	repeat	IPR019552		
PF10531	SLBB domain	pfam	domain	IPR019554		
PF10534	Connector enhancer of kinase suppressor of ras	pfam	domain	IPR017874		
PF10537	ATP-utilising chromatin assembly and remodelling N-terminal	pfam	domain	IPR013136		
PF10541	Nuclear envelope localisation domain	pfam	domain	IPR012315		
PF10557	Cullin protein neddylation domain	pfam	domain	IPR019559		
PF10558	"Mitochondrial 18 KDa protein (MTP18)  "	pfam	family	IPR019560		
PF10559	Plug domain of Sec61p	pfam	domain	IPR019561		
