DepMap_ID,cell_line_name,stripped_cell_line_name,CCLE_Name,alias,COSMICID,sex,source,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,default_growth_pattern,model_manipulation,model_manipulation_details,patient_id,parent_depmap_id,Cellosaurus_NCIt_disease,Cellosaurus_NCIt_id,Cellosaurus_issues
ACH-000770,P31/FUJ,P31FUJ,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909253.0,Male,HSRRB,CVCL_1632,642.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",7,SIDM00363,,blood,AML,M5,,,,,PT-7N6azV,,Childhood acute myeloid leukemia,C9160,NRAS mutation indicated to be at p.Gly12Asp (c.35G>A) in PubMed=9379676
ACH-000772,TE 441.T,TE441T,TE441T_SOFT_TISSUE,,924248.0,Female,ATCC,CVCL_1754,298.0,soft_tissue,,Sarcoma,Rhabdomyosarcoma,14,SIDM01173,,soft_tissue,rhabdomyosarcoma,,,2D: adherent,,,PT-nDp3Xt,,Rhabdomyosarcoma,C3359,
ACH-000775,NCI-H727,NCIH727,NCIH727_LUNG,,724855.0,Female,ATCC,CVCL_1584,341.0,lung,Primary,Lung Cancer,Carcinoid,65,SIDM01119,,lung,lung_carcinoid,,,2D: adherent,,,PT-u3m7Of,,Lung carcinoid tumor,C4038,
ACH-000776,ONS-76,ONS76,ONS76_CENTRAL_NERVOUS_SYSTEM,,909248.0,Female,HSRRB,CVCL_1624,67.0,central_nervous_system,Primary,Brain Cancer,Medulloblastoma,2,SIDM00567,,central_nervous_system,medulloblastoma,,non_MYC,,,,PT-DtdDWT,,Medulloblastoma,C3222,
ACH-000778,HSC-3,HSC3,HSC3_UPPER_AERODIGESTIVE_TRACT,,907061.0,Male,HSRRB,CVCL_1288,648.0,upper_aerodigestive_tract,Metastasis,Head and Neck Cancer,Squamous Cell Carcinoma,64,SIDM00589,,upper_aerodigestive,upper_aerodigestive_squamous,,,,,,PT-XJviYz,,Tongue squamous cell carcinoma,C4648,
ACH-000780,NCI-H1105,NCIH1105,NCIH1105_LUNG,,908468.0,Male,ATCC,CVCL_1455,128.0,lymph_node,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),73,SIDM00652,,lung,SCLC,,,2D: suspension,,,PT-SCGBeX,,Lung small cell carcinoma,C4917,
ACH-000781,NCI-H2023,NCIH2023,NCIH2023_LUNG,,1240187.0,Male,ATCC,CVCL_1515,1266.0,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",26,SIDM00753,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-CKs1VS,,Lung adenocarcinoma,C3512,
ACH-000783,CAMA-1,CAMA1,CAMA1_BREAST,,946382.0,Female,ATCC,CVCL_1115,363.0,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,51,SIDM00920,,breast,breast_carcinoma,ERpos_HER2neg,luminal,2D: adherent,,,PT-dK1tBm,,Breast adenocarcinoma,C5214,
ACH-000784,KYSE-70,KYSE70,KYSE70_OESOPHAGUS,,753576.0,Male,DSMZ,CVCL_1356,2219.0,oesophagus,Primary,Esophageal Cancer,Squamous Cell Carcinoma,77,SIDM01024,,esophagus,esophagus_squamous,,,,,,PT-YTdWR1,,Esophageal squamous cell carcinoma,C4024,TP53 mutation indicated as c.750_751insC in PubMed=8575860
ACH-000786,Daudi,DAUDI,DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906831.0,Male,ATCC,CVCL_0008,1783.0,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Non-Hodgkins, Burkitts",16,SIDM00845,,lymphocyte,non_hodgkin_lymphoma,b_cell_burkitt,,,,,PT-ieeLlY,,EBV-related Burkitt lymphoma,C27694,TP53 mutation indicated incorrectly as being at c.637C>T in PubMed=2052620
ACH-000787,LXF-289,LXF289,LXF289_LUNG,,753592.0,Male,DSMZ,CVCL_1394,1175.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",62,SIDM00339,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-w7dxuB,,Lung adenocarcinoma,C3512,
ACH-000788,A2058,A2058,A2058_SKIN,,906792.0,Male,ATCC,CVCL_1059,652.0,lymph_node,Metastasis,Skin Cancer,Melanoma,43,SIDM00797,,skin,melanoma,,,2D: adherent,,,PT-ZSJTWI,,Amelanotic melanoma,C3802,
ACH-000789,NCI-H810,NCIH810,NCIH810_LUNG,,925341.0,Male,ATCC,CVCL_1590,1104.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",51,SIDM01116,,lung,NSCLC,NSCLC_large_cell,,2D: adherent,,,PT-wTzkNy,,Lung large cell carcinoma,C4450,
ACH-000790,SHP-77,SHP77,SHP77_LUNG,,724872.0,Male,ATCC,CVCL_1693,1479.0,lung,Primary,Lung Cancer,Small Cell Lung Cancer (SCLC),54,SIDM01078,,lung,SCLC,,,2D: mixed adherent and suspension,,,PT-EI5eP1,,Lung small cell carcinoma,C4917,
ACH-000792,BFTC-909,BFTC909,BFTC909_KIDNEY,,910698.0,Male,DSMZ,CVCL_1084,1284.0,kidney,Primary,Kidney Cancer,"Renal Carcinoma, transitional cell",64,SIDM00988,,kidney,renal_cell_carcinoma,transitional_cell,,,,,PT-FrUuvH,,Renal pelvis urothelial carcinoma,C7355,
ACH-000793,KATO III,KATOIII,KATOIII_STOMACH,,907276.0,Male,ATCC,CVCL_0371,406.0,pleural_effusion,Metastasis,Gastric Cancer,"Adenocarcinoma, signet ring cell",57,SIDM00687,,gastric,gastric_adenocarcinoma,signet_ring_cell,,2D: mixed adherent and suspension,,,PT-xOmD9v,,Down syndrome,C2993,
ACH-000794,BICR 22,BICR22,BICR22_UPPER_AERODIGESTIVE_TRACT,,1240121.0,Male,ECACC,CVCL_2310,1575.0,lymph_node,Metastasis,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",88,SIDM00485,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,2D: adherent,,,PT-zkbKhd,,Tongue squamous cell carcinoma,C4648,
ACH-000795,MOLT-13,MOLT13,MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908146.0,Female,DSMZ,CVCL_1422,86.0,bone_marrow,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",2,SIDM00433,,blood,ALL,t_cell,,2D: suspension,,,PT-ZUsqVo,,Childhood T acute lymphoblastic leukemia,C7953,
ACH-000798,CL-40,CL40,CL40_LARGE_INTESTINE,,1240124.0,Female,DSMZ,CVCL_1982,555.0,Colon,Primary,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00960,,colorectal,colorectal_adenocarcinoma,,,2D: adherent,,,PT-maJywx,,Colon adenocarcinoma,C4349,
ACH-000800,NCI-H446,NCIH446,NCIH446_LUNG,,688023.0,Male,ATCC,CVCL_1562,1222.0,pleural_effusion,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),61,SIDM00965,,lung,SCLC,,,2D: mixed adherent and suspension,,,PT-RmrNlb,,Lung small cell carcinoma,C4917,
ACH-000802,BFTC-905,BFTC905,BFTC905_URINARY_TRACT,,910926.0,Female,DSMZ,CVCL_1083,1583.0,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,51,SIDM00989,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,,2D: adherent,,,PT-YqLKaW,,Bladder carcinoma,C4912,
ACH-000803,COLO 668,COLO668,COLO668_LUNG,,910692.0,Female,ECACC,CVCL_1128,1072.0,central_nervous_system,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),47,SIDM00143,,lung,SCLC,,,2D: adherent,,,PT-dQkCfQ,,Lung small cell carcinoma,C4917,
ACH-000804,NB-1,NB1,NB1_AUTONOMIC_GANGLIA,,949179.0,Male,HSRRB,CVCL_1440,127.0,lymph_node,Metastasis,Neuroblastoma,,2,SIDM00578,,peripheral_nervous_system,neuroblastoma,,MYCN_amp,2D: adherent,,,PT-dk8yt2,,Neuroblastoma,C3270,
ACH-000805,COLO-679,COLO679,COLO679_SKIN,,906818.0,Female,DSMZ,CVCL_1130,2049.0,skin,Metastasis,Skin Cancer,Melanoma,47,SIDM00284,,skin,melanoma,,,2D: adherent,,,PT-SscYEx,,Cutaneous melanoma,C3510,
ACH-000806,L-540,L540,L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907323.0,Female,DSMZ,CVCL_1362,651.0,bone_marrow,,Lymphoma,"B-cell, Hodgkins",20,SIDM00329,SNP fingerprinting rules out CCRF-CEM contamination.,lymphocyte,hodgkin_lymphoma,,,,,,PT-COK0Ia,,Hodgkin lymphoma,C9357,
ACH-000809,KYSE-410,KYSE410,KYSE410_OESOPHAGUS,,753574.0,Male,DSMZ,CVCL_1352,952.0,oesophagus,Primary,Esophageal Cancer,Squamous Cell Carcinoma,51,SIDM01028,,esophagus,esophagus_squamous,,,2D: adherent,,,PT-zFPWWq,,Esophageal squamous cell carcinoma,C4024,
ACH-000810,SK-MEL-30,SKMEL30,SKMEL30_SKIN,,909726.0,Male,DSMZ,CVCL_0039,1789.0,skin,Metastasis,Skin Cancer,Melanoma,67,SIDM00392,,skin,melanoma,,,2D: adherent,,,PT-1TshCj,,Cutaneous melanoma,C3510,
ACH-000811,SK-OV-3,SKOV3,SKOV3_OVARY,,905959.0,Female,ATCC,CVCL_0532,1166.0,ascites,Metastasis,Ovarian Cancer,"Cystadenocarcinoma, endometrioid",64,SIDM00079,,ovary,ovary_adenocarcinoma,endometrioid,,2D: adherent,,,PT-RV3Y6W,,Ovarian serous cystadenocarcinoma,C7978,
ACH-000812,COLO-783,COLO783,COLO783_SKIN,,1240125.0,Female,DSMZ,CVCL_1997,857.0,lymph_node,Metastasis,Skin Cancer,Melanoma,48,SIDM00955,,skin,melanoma,,,2D: adherent,,,PT-WHZxXI,,Melanoma,C3224,
ACH-000814,Hs 939.T,HS939T,HS939T_SKIN,,1298144.0,Female,ATCC,CVCL_1036,1261.0,skin,,Skin Cancer,Melanoma,24,SIDM00663,,skin,melanoma,,,2D: adherent,,,PT-2OcAGh,,Melanoma,C3224,
ACH-000815,KM-H2,KMH2,KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909976.0,Male,DSMZ,CVCL_1330,313.0,pleural_effusion,Metastasis,Lymphoma,"B-cell, Hodgkins",37,SIDM01018,,lymphocyte,hodgkin_lymphoma,,,,,,PT-6Uzxpn,,Hodgkin lymphoma,C9357,
ACH-000816,NCI-H524,NCIH524,NCIH524_LUNG,,908483.0,Male,ATCC,CVCL_1568,2147.0,lymph_node,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),63,SIDM01129,,lung,SCLC,,,2D: suspension,,,PT-veV7dF,,Lung small cell carcinoma,C4917,
ACH-000817,RPMI 8226,RPMI8226,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,905964.0,Male,ATCC,CVCL_0014,705.0,haematopoietic_and_lymphoid_tissue,Primary,Myeloma,"Multiple Myeloma, plasmacytoma",61,SIDM00087,,plasma_cell,multiple_myeloma,plasmacytoma,,2D: suspension,,,PT-pWj35D,,Plasma cell myeloma,C3242,
ACH-000818,BT-483,BT483,BT483_BREAST,,949093.0,Female,ATCC,CVCL_2319,1231.0,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,23,SIDM00892,,breast,breast_ductal_carcinoma,ERpos_HER2neg,luminal,2D: adherent,,,PT-EQndr2,,Invasive breast carcinoma of no special type,C4194,
ACH-000819,LN-18,LN18,LN18_CENTRAL_NERVOUS_SYSTEM,,1240168.0,Male,ATCC,CVCL_0392,1503.0,central_nervous_system,Primary,Brain Cancer,Glioblastoma,65,SIDM00685,,central_nervous_system,glioma,glioblastoma,,2D: adherent,,,PT-1DyLm0,,Glioblastoma,C3058,
ACH-000821,EJM,EJM,EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1297447.0,Female,DSMZ,CVCL_2030,567.0,ascites,Primary,Myeloma,Multiple Myeloma,58,SIDM01048,,plasma_cell,multiple_myeloma,,,,,,PT-G4TwMh,,Plasma cell myeloma,C3242,
ACH-000822,SK-MEL-24,SKMEL24,SKMEL24_SKIN,,909725.0,Male,ATCC,CVCL_0599,945.0,lymph_node,Metastasis,Skin Cancer,Melanoma,67,SIDM01106,,skin,melanoma,,,2D: adherent,,,PT-n2hnAf,,Melanoma,C3224,
ACH-000823,KYSE-140,KYSE140,KYSE140_OESOPHAGUS,,753573.0,Male,DSMZ,CVCL_1347,951.0,oesophagus,Primary,Esophageal Cancer,Squamous Cell Carcinoma,54,SIDM01032,,esophagus,esophagus_squamous,,,2D: adherent,,,PT-O7zBRO,,Esophageal squamous cell carcinoma,C4024,
ACH-000824,KYSE-510,KYSE510,KYSE510_OESOPHAGUS,,907321.0,Female,DSMZ,CVCL_1354,893.0,oesophagus,Primary,Esophageal Cancer,Squamous Cell Carcinoma,67,SIDM01026,,esophagus,esophagus_squamous,,,,,,PT-ItKoPJ,,Esophageal squamous cell carcinoma,C4024,
ACH-000825,HOP-92,HOP92,HOP92_LUNG,,905973.0,Male,Academic lab,CVCL_1286,888.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified",62,SIDM00134,,lung,NSCLC,,,2D: mixed adherent and suspension,,,PT-fbGZ8j,,Lung non-small cell carcinoma,C2926,
ACH-000826,CAL-12T,CAL12T,CAL12T_LUNG,,753540.0,Male,DSMZ,CVCL_1105,2252.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified",,SIDM00939,,lung,NSCLC,,,2D: adherent,,,PT-nAjtb0,,Lung non-small cell carcinoma,C2926,
ACH-000827,WM-793,WM793,WM793_SKIN,,1299081.0,Male,WISTAR,CVCL_8787,114.0,skin,,Skin Cancer,Melanoma,37,SIDM00973,,skin,melanoma,,,2D: adherent,,,PT-L3eOYW,,Melanoma,C3224,"The reported STR profile from Wistar of this cell line was changed at one point between February 2016 when we retrieved them and entered them in the Cellosaurus and May 2018. The major changes were: D18S51: 11,14->14,15"
ACH-000828,ZR-75-30,ZR7530,ZR7530_BREAST,,909907.0,Female,ATCC,CVCL_1661,429.0,ascites,Metastasis,Breast Cancer,Breast Ductal Carcinoma,47,SIDM00971,,breast,breast_ductal_carcinoma,ERpos_HER2pos,HER2_amp,2D: adherent,,,PT-mV0nNw,,Invasive breast carcinoma of no special type,C4194,
ACH-000830,NCI-H1436,NCIH1436,NCIH1436_LUNG,,908469.0,Male,ATCC,CVCL_1471,2120.0,lymph_node,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),39,SIDM00697,,lung,SCLC,,,2D: suspension,,,PT-Fd4LwY,,Lung small cell carcinoma,C4917,
ACH-000832,CAL 27,CAL27,CAL27_UPPER_AERODIGESTIVE_TRACT,,910916.0,Male,ATCC,CVCL_1107,1911.0,upper_aerodigestive_tract,Primary,Head and Neck Cancer,Squamous Cell Carcinoma,56,SIDM00937,,upper_aerodigestive,upper_aerodigestive_squamous,,,2D: adherent,,,PT-JCJHPr,,Tongue squamous cell carcinoma,C4648,
ACH-000835,GCT,GCT,GCT_SOFT_TISSUE,,906999.0,Male,ATCC,CVCL_1229,963.0,soft_tissue,Metastasis,Sarcoma,Pleomorphic Sarcoma,29,SIDM00853,,soft_tissue,pleomorphic_sarcoma,,,2D: adherent,,,PT-0RBdNq,,Undifferentiated pleomorphic sarcoma,C4247,
ACH-000838,AMO-1,AMO1,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1295741.0,Female,DSMZ,CVCL_1806,1204.0,ascites,Primary,Myeloma,"Multiple Myeloma, plasmacytoma",64,SIDM00993,,plasma_cell,multiple_myeloma,plasmacytoma,,2D: suspension,,,PT-CmSm57,,Plasma cell myeloma,C3242,
ACH-000840,HCC-366,HCC366,HCC366_LUNG,,1240144.0,Female,DSMZ,CVCL_2059,638.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma",80,SIDM01070,,lung,NSCLC,NSCLC_adenosquamous,,,,,PT-1JVU53,,Lung adenosquamous carcinoma,C9133,
ACH-000841,NCI-H2087,NCIH2087,NCIH2087_LUNG,,724834.0,Male,ATCC,CVCL_1524,915.0,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",69,SIDM00708,,lung,NSCLC,NSCLC_adenocarcinoma,,,,,PT-lYuNel,,Lung adenocarcinoma,C3512,
ACH-000843,HARA,HARA,HARA_LUNG,,1240142.0,Male,HSRRB,CVCL_2914,350.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",57,SIDM00598,,lung,NSCLC,NSCLC_squamous,,2D: adherent,,,PT-gQzNzd,,Lung squamous cell carcinoma,C3493,
ACH-000846,FaDu,FADU,FADU_UPPER_AERODIGESTIVE_TRACT,,906863.0,Male,ATCC,CVCL_1218,1170.0,upper_aerodigestive_tract,Primary,Head and Neck Cancer,Squamous Cell Carcinoma,56,SIDM00860,,upper_aerodigestive,upper_aerodigestive_squamous,,,2D: adherent,,,PT-tolPHE,,Hypopharyngeal squamous cell carcinoma,C4043,
ACH-000847,HGC-27,HGC27,HGC27_STOMACH,,907055.0,,ECACC,CVCL_1279,1102.0,lymph_node,Metastasis,Gastric Cancer,Adenocarcinoma,,SIDM00290,,gastric,gastric_adenocarcinoma,,,2D: adherent,,,PT-dAMXIu,,Gastric carcinoma,C4911,
ACH-000848,JHH-7,JHH7,JHH7_LIVER,,1240160.0,Male,HSRRB,CVCL_2805,1038.0,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,53,SIDM00614,,liver,hepatocellular_carcinoma,,,,,,PT-WkfAGI,,Adult hepatocellular carcinoma,C7956,
ACH-000849,MDA-MB-468,MDAMB468,MDAMB468_BREAST,,908123.0,Female,ATCC,CVCL_0419,415.0,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,51,SIDM00628,,breast,breast_carcinoma,ERneg_HER2neg,basal_A,2D: adherent,,,PT-58loXx,,Breast adenocarcinoma,C5214,
ACH-000852,NCI-H1435,NCIH1435,NCIH1435_LUNG,,1298347.0,Female,ATCC,CVCL_1470,2119.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",35,SIDM00658,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-9wHWAd,,Lung adenocarcinoma,C3512,
ACH-000853,NCI-H661,NCIH661,NCIH661_LUNG,,687829.0,Male,ATCC,CVCL_1577,107.0,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",43,SIDM01122,,lung,NSCLC,NSCLC_large_cell,,2D: adherent,,,PT-FGrsoV,,Lung large cell carcinoma,C4450,
ACH-000855,KYSE-150,KYSE150,KYSE150_OESOPHAGUS,,907317.0,Female,DSMZ,CVCL_1348,407.0,oesophagus,Primary,Esophageal Cancer,Squamous Cell Carcinoma,49,SIDM01031,,esophagus,esophagus_squamous,,,2D: adherent,,,PT-8JwTBr,,Esophageal squamous cell carcinoma,C4024,
ACH-000856,CAL-51,CAL51,CAL51_BREAST,,910927.0,Female,DSMZ,CVCL_1110,4.0,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,45,SIDM00933,,breast,breast_carcinoma,ERneg_HER2neg,basal_B,2D: adherent,,,PT-PgOEtc,,Breast carcinoma,C4872,
ACH-000857,CAL-85-1,CAL851,CAL851_BREAST,,910852.0,Female,DSMZ,CVCL_1114,113.0,breast,Primary,Breast Cancer,Carcinoma,35,SIDM00928,,breast,breast_carcinoma,ERneg_HER2neg,basal_A,,,,PT-IcfZvW,,Breast carcinoma,C4872,
ACH-000858,KNS-62,KNS62,KNS62_LUNG,,753569.0,Male,ATCC,CVCL_1335,1369.0,central_nervous_system,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",49,SIDM00606,,lung,NSCLC,NSCLC_squamous,,2D: adherent,,,PT-obWM4y,,Lung squamous cell carcinoma,C3493,
ACH-000859,HCC1954,HCC1954,HCC1954_BREAST,,749709.0,Female,ATCC,CVCL_1259,2143.0,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,61,SIDM00872,,breast,breast_ductal_carcinoma,ERneg_HER2pos,basal_A,2D: adherent,,,PT-603OA3,,Breast ductal carcinoma,C4017,
ACH-000860,NCI-H358,NCIH358,NCIH358_LUNG,,908465.0,Male,ATCC,CVCL_1559,1691.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00718,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-W8OaFq,,Minimally invasive lung adenocarcinoma,C2923,NCI-H358 and NCI-H358M (CVCL_JA53) could be identical
ACH-000861,HOP-62,HOP62,HOP62_LUNG,,905972.0,Female,Academic lab,CVCL_1285,1500.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",60,SIDM00133,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-ExToNn,,Lung adenocarcinoma,C3512,
ACH-000863,DBTRG-05MG,DBTRG05MG,DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,,906835.0,Female,ATCC,CVCL_1169,1784.0,central_nervous_system,Primary,Brain Cancer,Glioblastoma,59,SIDM00867,,central_nervous_system,glioma,glioblastoma,,2D: adherent,,,PT-LeOcTX,,Anaplastic astrocytoma,C9477,
ACH-000864,COLO 684,COLO684,COLO684_ENDOMETRIUM,,910691.0,Female,ECACC,CVCL_1132,218.0,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,63,SIDM00142,,uterus,endometrial_adenocarcinoma,,,2D: suspension,,,PT-8fO9EH,,Endometrial adenocarcinoma,C7359,
ACH-000865,KYSE-450,KYSE450,KYSE450_OESOPHAGUS,,907320.0,Male,DSMZ,CVCL_1353,60.0,oesophagus,Primary,Esophageal Cancer,Squamous Cell Carcinoma,59,SIDM01027,,esophagus,esophagus_squamous,,,2D: adherent,,,PT-zNE9qB,,Esophageal squamous cell carcinoma,C4024,
ACH-000866,NCI-H1048,NCIH1048,NCIH1048_LUNG,,687995.0,Female,ATCC,CVCL_1453,1875.0,pleural_effusion,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),53,SIDM00654,,lung,SCLC,,,2D: adherent,,,PT-l2795j,,Lung small cell carcinoma,C4917,
ACH-000867,ChaGo-K-1,CHAGOK1,CHAGOK1_LUNG,,687596.0,Male,ECACC,CVCL_1121,1605.0,lung,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified",45,SIDM00924,,lung,NSCLC,,,2D: adherent,,,PT-3nyeTa,,Bronchogenic carcinoma,C35875,
ACH-000869,NCI-H1568,NCIH1568,NCIH1568_LUNG,,1298348.0,Female,ATCC,CVCL_1476,711.0,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",48,SIDM00750,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-JylhbS,,Lung adenocarcinoma,C3512,
ACH-000871,NCI-H510,NCIH510,NCIH510_LUNG,,753605.0,Male,ATCC,CVCL_1565,919.0,autonomic_ganglia,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),56,SIDM00927,,lung,SCLC,,,2D: mixed adherent and suspension,,,PT-IG35r8,,Lung small cell carcinoma,C4917,
ACH-000873,KYSE-270,KYSE270,KYSE270_OESOPHAGUS,,907319.0,Male,DSMZ,CVCL_1350,1518.0,oesophagus,Primary,Esophageal Cancer,Squamous Cell Carcinoma,79,SIDM01029,,esophagus,esophagus_squamous,,,2D: adherent,,,PT-8iaWjG,,Esophageal squamous cell carcinoma,C4024,
ACH-000874,RS4;11,RS411,RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909703.0,Female,ATCC,CVCL_0093,862.0,bone_marrow,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",32,SIDM01086,,blood,ALL,b_cell,,,,,PT-eEEvwF,,Adult B acute lymphoblastic leukemia,C9143,
ACH-000875,NCI-H2347,NCIH2347,NCIH2347_LUNG,,687820.0,Female,ATCC,CVCL_1550,337.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",54,SIDM00726,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: mixed adherent and suspension,,,PT-SrAh0r,,Lung adenocarcinoma,C3512,
ACH-000876,MDA-MB-415,MDAMB415,MDAMB415_BREAST,,924240.0,Female,ATCC,CVCL_0621,344.0,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,38,SIDM00630,,breast,breast_carcinoma,ERpos_HER2neg,HER2_amp,2D: adherent,,,PT-FjJcwU,,Breast adenocarcinoma,C5214,
ACH-000878,HCC-15,HCC15,HCC15_LUNG,,1240143.0,Male,DSMZ,CVCL_2057,1368.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",47,SIDM01072,,lung,NSCLC,NSCLC_squamous,,2D: mixed adherent and suspension,,,PT-WMdXaj,,Lung squamous cell carcinoma,C3493,
ACH-000879,MFE-296,MFE296,MFE296_ENDOMETRIUM,,908130.0,Female,DSMZ,CVCL_1406,920.0,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,68,SIDM00334,,uterus,endometrial_adenocarcinoma,,,,,,PT-wMzIqz,,Endometrial adenocarcinoma,C7359,
ACH-000880,AGS,AGS,AGS_STOMACH,,906790.0,Female,ATCC,CVCL_0139,1011.0,stomach,Primary,Gastric Cancer,Adenocarcinoma,54,SIDM00850,,gastric,gastric_adenocarcinoma,,,2D: adherent,,,PT-VHRCrj,,Gastric adenocarcinoma,C4004,
ACH-000881,MEL-JUSO,MELJUSO,MELJUSO_SKIN,,908125.0,Female,DSMZ,CVCL_1403,626.0,skin,Primary,Skin Cancer,Melanoma,58,SIDM00336,,skin,melanoma,,,2D: adherent,,,PT-9PTPLm,,Cutaneous melanoma,C3510,
ACH-000882,IGR-1,IGR1,IGR1_SKIN,,907169.0,Male,DSMZ,CVCL_1303,1534.0,lymph_node,Metastasis,Skin Cancer,Melanoma,42,SIDM01060,,skin,melanoma,,,2D: adherent,,,PT-MRf5jM,,Melanoma,C3224,
ACH-000883,SW 1783,SW1783,SW1783_CENTRAL_NERVOUS_SYSTEM,,909750.0,Male,ATCC,CVCL_1722,1453.0,central_nervous_system,Primary,Brain Cancer,Astrocytoma,68,SIDM01164,,central_nervous_system,glioma,astrocytoma,,2D: adherent,,,PT-u7Vp6O,,Anaplastic astrocytoma,C9477,
ACH-000885,TOV-21G,TOV21G,TOV21G_OVARY,,1240222.0,Female,ATCC,CVCL_3613,700.0,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, clear cell",62,SIDM01169,,ovary,ovary_adenocarcinoma,clear_cell,,2D: adherent,,,PT-6zI98h,,Ovarian clear cell adenocarcinoma,C40078,
