kegg_pathwayid,kegg_pathwayname,kegg_diseaseid,kegg_diseasename
hsa03008,"Ribosome biogenesis in eukaryotes",H00616,"Bowen-Conradi syndrome"
hsa03008,"Ribosome biogenesis in eukaryotes",H00621,"Alopecia neurologic defects and endocrinopathy syndrome"
hsa03008,"Ribosome biogenesis in eukaryotes",H00788,"Hoyeraal-Hreidarsson syndrome"
hsa03008,"Ribosome biogenesis in eukaryotes",H01896,"Aplasia cutis congenita"
hsa03008,"Ribosome biogenesis in eukaryotes",H01966,"Cartilage-hair hypoplasia"
hsa03008,"Ribosome biogenesis in eukaryotes",H01967,"Anauxetic dysplasia"
hsa03008,"Ribosome biogenesis in eukaryotes",H02194,"North American Indian childhood cirrhosis"
hsa03010,Ribosome,H00237,"Diamond-Blackfan anemia"
hsa03010,Ribosome,H01435,"Congenital asplenia"
hsa03010,Ribosome,H01484,"5q- syndrome"
hsa03013,"RNA transport",H00455,"Spinal muscular atrophy"
hsa03013,"RNA transport",H00465,"Fragile X syndrome"
hsa03013,"RNA transport",H00869,"Leukoencephalopathy with vanishing white matter"
hsa03013,"RNA transport",H01731,"Fragile X tremor/ataxia syndrome"
hsa03013,"RNA transport",H02195,"MEHMO syndrome"
hsa03013,"RNA transport",H02253,"Beaulieu-Boycott-Innes syndrome"
hsa03015,"mRNA surveillance pathway",H00704,"Oculopharyngeal muscular dystrophy"
hsa03018,"RNA degradation",H01878,"Al-Raqad syndrome"
hsa03022,"Basal transcription factors",H00866,Trichothiodystrophy
hsa03022,"Basal transcription factors",H01879,"Wiedemann-Steiner syndrome"
hsa03030,"DNA replication",H00290,"Aicardi-Goutieres syndrome"
hsa04622,"RIG-I-like receptor signaling pathway",H00290,"Aicardi-Goutieres syndrome"
hsa04623,"Cytosolic DNA-sensing pathway",H00290,"Aicardi-Goutieres syndrome"
hsa03030,"DNA replication",H02369,"IMAGE-I syndrome"
hsa03410,"Base excision repair",H02369,"IMAGE-I syndrome"
hsa03420,"Nucleotide excision repair",H02369,"IMAGE-I syndrome"
hsa03030,"DNA replication",H02370,"FILS syndrome"
hsa03410,"Base excision repair",H02370,"FILS syndrome"
hsa03420,"Nucleotide excision repair",H02370,"FILS syndrome"
hsa03040,Spliceosome,H01481,"Myelodysplastic syndrome"
hsa04550,"Signaling pathways regulating pluripotency of stem cells",H01481,"Myelodysplastic syndrome"
hsa03040,Spliceosome,H01838,"Mandibulofacial dysostosis with microcephaly"
hsa03040,Spliceosome,H01839,"Burn-McKeown syndrome"
hsa03040,Spliceosome,H01843,"Cerebrocostomandibular syndrome"
hsa03040,Spliceosome,H01913,"Renpenning syndrome"
hsa03050,Proteasome,H00790,"Keratosis linearis with ichthyosis congenita and sclerosing keratoderma"
hsa03050,Proteasome,H01741,"Autoinflammation lipodystrophy and dermatosis syndrome"
hsa03320,"PPAR signaling pathway",H00157,"Hyperlipoproteinemia, type V"
hsa03320,"PPAR signaling pathway",H00409,"Type 2 diabetes mellitus"
hsa04110,"Cell cycle",H00409,"Type 2 diabetes mellitus"
hsa04115,"p53 signaling pathway",H00409,"Type 2 diabetes mellitus"
hsa04141,"Protein processing in endoplasmic reticulum",H00409,"Type 2 diabetes mellitus"
hsa04310,"Wnt signaling pathway",H00409,"Type 2 diabetes mellitus"
hsa04330,"Notch signaling pathway",H00409,"Type 2 diabetes mellitus"
hsa04350,"TGF-beta signaling pathway",H00409,"Type 2 diabetes mellitus"
hsa04911,"Insulin secretion",H00409,"Type 2 diabetes mellitus"
hsa04972,"Pancreatic secretion",H00409,"Type 2 diabetes mellitus"
hsa03320,"PPAR signaling pathway",H00420,"Familial partial lipodystrophy"
hsa04371,"Apelin signaling pathway",H00420,"Familial partial lipodystrophy"
hsa04910,"Insulin signaling pathway",H00420,"Familial partial lipodystrophy"
hsa04923,"Regulation of lipolysis in adipocytes",H00420,"Familial partial lipodystrophy"
hsa03320,"PPAR signaling pathway",H00967,"Adiponectin deficiency"
hsa04920,"Adipocytokine signaling pathway",H00967,"Adiponectin deficiency"
hsa03320,"PPAR signaling pathway",H01108,"CD36 deficiency"
hsa04145,Phagosome,H01108,"CD36 deficiency"
hsa04920,"Adipocytokine signaling pathway",H01108,"CD36 deficiency"
hsa04975,"Fat digestion and absorption",H01108,"CD36 deficiency"
hsa03320,"PPAR signaling pathway",H01199,Hyperalphalipoproteinemia
hsa03320,"PPAR signaling pathway",H02106,"Genetic obesity"
hsa04080,"Neuroactive ligand-receptor interaction",H02106,"Genetic obesity"
hsa04714,Thermogenesis,H02106,"Genetic obesity"
hsa04923,"Regulation of lipolysis in adipocytes",H02106,"Genetic obesity"
hsa03410,"Base excision repair",H01025,"Familial adenomatous polyposis"
hsa04310,"Wnt signaling pathway",H01025,"Familial adenomatous polyposis"
hsa04810,"Regulation of actin cytoskeleton",H01025,"Familial adenomatous polyposis"
hsa03410,"Base excision repair",H02014,"Ataxia-telangiectasia-like syndrome"
hsa03420,"Nucleotide excision repair",H02014,"Ataxia-telangiectasia-like syndrome"
hsa03440,"Homologous recombination",H02014,"Ataxia-telangiectasia-like syndrome"
hsa03420,"Nucleotide excision repair",H00076,"Cockayne syndrome"
hsa03420,"Nucleotide excision repair",H00403,"Disorders of nucleotide excision repair"
hsa03420,"Nucleotide excision repair",H01428,"Xeroderma pigmentosum"
hsa03420,"Nucleotide excision repair",H02131,"UV-sensitive syndrome"
hsa04120,"Ubiquitin mediated proteolysis",H02131,"UV-sensitive syndrome"
hsa03430,"Mismatch repair",H00876,"Mismatch repair deficiency"
hsa03440,"Homologous recombination",H00064,"Ataxia telangiectasia"
hsa04110,"Cell cycle",H00064,"Ataxia telangiectasia"
hsa04218,"Cellular senescence",H00064,"Ataxia telangiectasia"
hsa03440,"Homologous recombination",H00094,"Immunodeficiency associated with DNA repair defects"
hsa03440,"Homologous recombination",H00296,"Defects in RecQ helicases"
hsa03440,"Homologous recombination",H01287,"Congenital mirror movements"
hsa04360,"Axon guidance",H01287,"Congenital mirror movements"
hsa03440,"Homologous recombination",H01344,"Nijmegen syndrome"
hsa03450,"Non-homologous end-joining",H01344,"Nijmegen syndrome"
hsa03440,"Homologous recombination",H01346,"Bloom syndrome"
hsa03460,"Fanconi anemia pathway",H01346,"Bloom syndrome"
hsa03450,"Non-homologous end-joining",H00924,"Severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation"
hsa03450,"Non-homologous end-joining",H02015,"LIG4 syndrome"
hsa03460,"Fanconi anemia pathway",H00238,"Fanconi anemia"
hsa03460,"Fanconi anemia pathway",H00992,"Seckel syndrome"
hsa04110,"Cell cycle",H00992,"Seckel syndrome"
hsa04115,"p53 signaling pathway",H00992,"Seckel syndrome"
hsa04010,"MAPK signaling pathway",H00078,"Frontotemporal lobar degeneration"
hsa04141,"Protein processing in endoplasmic reticulum",H00078,"Frontotemporal lobar degeneration"
hsa04144,Endocytosis,H00078,"Frontotemporal lobar degeneration"
hsa04310,"Wnt signaling pathway",H00078,"Frontotemporal lobar degeneration"
hsa04330,"Notch signaling pathway",H00078,"Frontotemporal lobar degeneration"
hsa04722,"Neurotrophin signaling pathway",H00078,"Frontotemporal lobar degeneration"
hsa04010,"MAPK signaling pathway",H00484,"Multiple synostosis syndrome"
hsa04350,"TGF-beta signaling pathway",H00484,"Multiple synostosis syndrome"
hsa04810,"Regulation of actin cytoskeleton",H00484,"Multiple synostosis syndrome"
hsa04010,"MAPK signaling pathway",H00505,"FGFR3-related short limb skeletal dysplasia"
hsa04014,"Ras signaling pathway",H00505,"FGFR3-related short limb skeletal dysplasia"
hsa04015,"Rap1 signaling pathway",H00505,"FGFR3-related short limb skeletal dysplasia"
hsa04151,"PI3K-Akt signaling pathway",H00505,"FGFR3-related short limb skeletal dysplasia"
hsa04810,"Regulation of actin cytoskeleton",H00505,"FGFR3-related short limb skeletal dysplasia"
hsa04010,"MAPK signaling pathway",H00523,"Noonan syndrome and related disorders"
hsa04010,"MAPK signaling pathway",H00532,"Parkes Weber syndrome"
hsa04010,"MAPK signaling pathway",H00535,"Hereditary lymphedema"
hsa04015,"Rap1 signaling pathway",H00535,"Hereditary lymphedema"
hsa04151,"PI3K-Akt signaling pathway",H00535,"Hereditary lymphedema"
hsa04510,"Focal adhesion",H00535,"Hereditary lymphedema"
hsa04010,"MAPK signaling pathway",H00540,"Osteoporosis, lymphedema, anhydrotic ectodermal dysplasia with immunodeficiency (OLEDAID)"
hsa04062,"Chemokine signaling pathway",H00540,"Osteoporosis, lymphedema, anhydrotic ectodermal dysplasia with immunodeficiency (OLEDAID)"
hsa04210,Apoptosis,H00540,"Osteoporosis, lymphedema, anhydrotic ectodermal dysplasia with immunodeficiency (OLEDAID)"
hsa04380,"Osteoclast differentiation",H00540,"Osteoporosis, lymphedema, anhydrotic ectodermal dysplasia with immunodeficiency (OLEDAID)"
hsa04660,"T cell receptor signaling pathway",H00540,"Osteoporosis, lymphedema, anhydrotic ectodermal dysplasia with immunodeficiency (OLEDAID)"
hsa04662,"B cell receptor signaling pathway",H00540,"Osteoporosis, lymphedema, anhydrotic ectodermal dysplasia with immunodeficiency (OLEDAID)"
hsa04010,"MAPK signaling pathway",H00574,"Coffin-Lowry syndrome"
hsa04114,"Oocyte meiosis",H00574,"Coffin-Lowry syndrome"
hsa04010,"MAPK signaling pathway",H00595,"Myofibrillar myopathies"
hsa04141,"Protein processing in endoplasmic reticulum",H00595,"Myofibrillar myopathies"
hsa04510,"Focal adhesion",H00595,"Myofibrillar myopathies"
hsa04010,"MAPK signaling pathway",H00642,"Lacrimo-auriculo-dento-digital syndrome"
hsa04144,Endocytosis,H00642,"Lacrimo-auriculo-dento-digital syndrome"
hsa04810,"Regulation of actin cytoskeleton",H00642,"Lacrimo-auriculo-dento-digital syndrome"
hsa04010,"MAPK signaling pathway",H00645,"Incontinentia pigmenti"
hsa04062,"Chemokine signaling pathway",H00645,"Incontinentia pigmenti"
hsa04210,Apoptosis,H00645,"Incontinentia pigmenti"
hsa04380,"Osteoclast differentiation",H00645,"Incontinentia pigmenti"
hsa04660,"T cell receptor signaling pathway",H00645,"Incontinentia pigmenti"
hsa04662,"B cell receptor signaling pathway",H00645,"Incontinentia pigmenti"
hsa04920,"Adipocytokine signaling pathway",H00645,"Incontinentia pigmenti"
hsa04010,"MAPK signaling pathway",H00677,"Aplasia of lacrimal and salivary glands"
hsa04010,"MAPK signaling pathway",H00728,"Brugada syndrome"
hsa04020,"Calcium signaling pathway",H00728,"Brugada syndrome"
hsa04260,"Cardiac muscle contraction",H00728,"Brugada syndrome"
hsa04270,"Vascular smooth muscle contraction",H00728,"Brugada syndrome"
hsa04010,"MAPK signaling pathway",H00746,"Hypokalemic periodic paralysis (HypoPP)"
hsa04020,"Calcium signaling pathway",H00746,"Hypokalemic periodic paralysis (HypoPP)"
hsa04260,"Cardiac muscle contraction",H00746,"Hypokalemic periodic paralysis (HypoPP)"
hsa04270,"Vascular smooth muscle contraction",H00746,"Hypokalemic periodic paralysis (HypoPP)"
hsa04725,"Cholinergic synapse",H00746,"Hypokalemic periodic paralysis (HypoPP)"
hsa04727,"GABAergic synapse",H00746,"Hypokalemic periodic paralysis (HypoPP)"
hsa04912,"GnRH signaling pathway",H00746,"Hypokalemic periodic paralysis (HypoPP)"
hsa04010,"MAPK signaling pathway",H00749,"Episodic ataxias"
hsa04020,"Calcium signaling pathway",H00749,"Episodic ataxias"
hsa04721,"Synaptic vesicle cycle",H00749,"Episodic ataxias"
hsa04724,"Glutamatergic synapse",H00749,"Episodic ataxias"
hsa04725,"Cholinergic synapse",H00749,"Episodic ataxias"
hsa04727,"GABAergic synapse",H00749,"Episodic ataxias"
hsa04728,"Dopaminergic synapse",H00749,"Episodic ataxias"
hsa04730,"Long-term depression",H00749,"Episodic ataxias"
hsa04010,"MAPK signaling pathway",H00775,"Hemiplegic migraine"
hsa04020,"Calcium signaling pathway",H00775,"Hemiplegic migraine"
hsa04260,"Cardiac muscle contraction",H00775,"Hemiplegic migraine"
hsa04721,"Synaptic vesicle cycle",H00775,"Hemiplegic migraine"
hsa04724,"Glutamatergic synapse",H00775,"Hemiplegic migraine"
hsa04725,"Cholinergic synapse",H00775,"Hemiplegic migraine"
hsa04727,"GABAergic synapse",H00775,"Hemiplegic migraine"
hsa04728,"Dopaminergic synapse",H00775,"Hemiplegic migraine"
hsa04730,"Long-term depression",H00775,"Hemiplegic migraine"
hsa04010,"MAPK signaling pathway",H00787,"Congenital stationary night blindness"
hsa04020,"Calcium signaling pathway",H00787,"Congenital stationary night blindness"
hsa04080,"Neuroactive ligand-receptor interaction",H00787,"Congenital stationary night blindness"
hsa04724,"Glutamatergic synapse",H00787,"Congenital stationary night blindness"
hsa04744,Phototransduction,H00787,"Congenital stationary night blindness"
hsa04010,"MAPK signaling pathway",H00800,"Loeys-Dietz syndrome"
hsa04060,"Cytokine-cytokine receptor interaction",H00800,"Loeys-Dietz syndrome"
hsa04144,Endocytosis,H00800,"Loeys-Dietz syndrome"
hsa04350,"TGF-beta signaling pathway",H00800,"Loeys-Dietz syndrome"
hsa04380,"Osteoclast differentiation",H00800,"Loeys-Dietz syndrome"
hsa04390,"Hippo signaling pathway",H00800,"Loeys-Dietz syndrome"
hsa04520,"Adherens junction",H00800,"Loeys-Dietz syndrome"
hsa04010,"MAPK signaling pathway",H00801,"Familial thoracic aortic aneurysm and dissection"
hsa04020,"Calcium signaling pathway",H00801,"Familial thoracic aortic aneurysm and dissection"
hsa04060,"Cytokine-cytokine receptor interaction",H00801,"Familial thoracic aortic aneurysm and dissection"
hsa04270,"Vascular smooth muscle contraction",H00801,"Familial thoracic aortic aneurysm and dissection"
hsa04350,"TGF-beta signaling pathway",H00801,"Familial thoracic aortic aneurysm and dissection"
hsa04510,"Focal adhesion",H00801,"Familial thoracic aortic aneurysm and dissection"
hsa04520,"Adherens junction",H00801,"Familial thoracic aortic aneurysm and dissection"
hsa04530,"Tight junction",H00801,"Familial thoracic aortic aneurysm and dissection"
hsa04810,"Regulation of actin cytoskeleton",H00801,"Familial thoracic aortic aneurysm and dissection"
hsa04010,"MAPK signaling pathway",H00808,"Idiopathic generalized epilepsies"
hsa04727,"GABAergic synapse",H00808,"Idiopathic generalized epilepsies"
hsa04010,"MAPK signaling pathway",H00881,"Li-Fraumeni syndrome"
hsa04110,"Cell cycle",H00881,"Li-Fraumeni syndrome"
hsa04115,"p53 signaling pathway",H00881,"Li-Fraumeni syndrome"
hsa04210,Apoptosis,H00881,"Li-Fraumeni syndrome"
hsa04310,"Wnt signaling pathway",H00881,"Li-Fraumeni syndrome"
hsa04010,"MAPK signaling pathway",H00882,"Cocoon syndrome"
hsa04062,"Chemokine signaling pathway",H00882,"Cocoon syndrome"
hsa04210,Apoptosis,H00882,"Cocoon syndrome"
hsa04380,"Osteoclast differentiation",H00882,"Cocoon syndrome"
hsa04620,"Toll-like receptor signaling pathway",H00882,"Cocoon syndrome"
hsa04621,"NOD-like receptor signaling pathway",H00882,"Cocoon syndrome"
hsa04622,"RIG-I-like receptor signaling pathway",H00882,"Cocoon syndrome"
hsa04623,"Cytosolic DNA-sensing pathway",H00882,"Cocoon syndrome"
hsa04660,"T cell receptor signaling pathway",H00882,"Cocoon syndrome"
hsa04662,"B cell receptor signaling pathway",H00882,"Cocoon syndrome"
hsa04920,"Adipocytokine signaling pathway",H00882,"Cocoon syndrome"
hsa04010,"MAPK signaling pathway",H00894,"FG syndrome"
hsa04510,"Focal adhesion",H00894,"FG syndrome"
hsa04530,"Tight junction",H00894,"FG syndrome"
hsa04010,"MAPK signaling pathway",H00912,"Tumor necrosis factor receptor-associated periodic syndrome"
hsa04060,"Cytokine-cytokine receptor interaction",H00912,"Tumor necrosis factor receptor-associated periodic syndrome"
hsa04210,Apoptosis,H00912,"Tumor necrosis factor receptor-associated periodic syndrome"
hsa04010,"MAPK signaling pathway",H00916,"Congenital central hypoventilation syndrome"
hsa04722,"Neurotrophin signaling pathway",H00916,"Congenital central hypoventilation syndrome"
hsa04010,"MAPK signaling pathway",H00997,"CATSHL syndrome"
hsa04810,"Regulation of actin cytoskeleton",H00997,"CATSHL syndrome"
hsa04010,"MAPK signaling pathway",H01007,"Choroid plexus papilloma"
hsa04110,"Cell cycle",H01007,"Choroid plexus papilloma"
hsa04115,"p53 signaling pathway",H01007,"Choroid plexus papilloma"
hsa04210,Apoptosis,H01007,"Choroid plexus papilloma"
hsa04310,"Wnt signaling pathway",H01007,"Choroid plexus papilloma"
hsa04722,"Neurotrophin signaling pathway",H01007,"Choroid plexus papilloma"
hsa04010,"MAPK signaling pathway",H01207,Trigonocephaly
hsa04520,"Adherens junction",H01207,Trigonocephaly
hsa04810,"Regulation of actin cytoskeleton",H01207,Trigonocephaly
hsa04010,"MAPK signaling pathway",H01250,"Hereditary gingival fibromatosis"
hsa04010,"MAPK signaling pathway",H01276,"Chronic idiopathic intestinal pseudo-obstruction"
hsa04510,"Focal adhesion",H01276,"Chronic idiopathic intestinal pseudo-obstruction"
hsa04010,"MAPK signaling pathway",H01385,"Rienhoff syndrome"
hsa04068,"FoxO signaling pathway",H01385,"Rienhoff syndrome"
hsa04110,"Cell cycle",H01385,"Rienhoff syndrome"
hsa04350,"TGF-beta signaling pathway",H01385,"Rienhoff syndrome"
hsa04390,"Hippo signaling pathway",H01385,"Rienhoff syndrome"
hsa04010,"MAPK signaling pathway",H01437,"Neurofibromatosis type 1"
hsa04014,"Ras signaling pathway",H01437,"Neurofibromatosis type 1"
hsa04010,"MAPK signaling pathway",H01512,"Langerhans cell histiocytosis"
hsa04010,"MAPK signaling pathway",H01738,"Noonan syndrome"
hsa04014,"Ras signaling pathway",H01738,"Noonan syndrome"
hsa04010,"MAPK signaling pathway",H01745,"Cardiofaciocutaneous syndrome"
hsa04010,"MAPK signaling pathway",H01905,Trichomegaly
hsa04010,"MAPK signaling pathway",H01984,"Leopard syndrome"
hsa04014,"Ras signaling pathway",H01984,"Leopard syndrome"
hsa04722,"Neurotrophin signaling pathway",H01984,"Leopard syndrome"
hsa04010,"MAPK signaling pathway",H02043,"Capillary malformation-arteriovenous malformation"
hsa04360,"Axon guidance",H02043,"Capillary malformation-arteriovenous malformation"
hsa04010,"MAPK signaling pathway",H02064,"Atelosteogenesis type I and III"
hsa04510,"Focal adhesion",H02064,"Atelosteogenesis type I and III"
hsa04010,"MAPK signaling pathway",H02067,"Boomerang dysplasia"
hsa04510,"Focal adhesion",H02067,"Boomerang dysplasia"
hsa04010,"MAPK signaling pathway",H02068,Hypochondroplasia
hsa04014,"Ras signaling pathway",H02068,Hypochondroplasia
hsa04015,"Rap1 signaling pathway",H02068,Hypochondroplasia
hsa04151,"PI3K-Akt signaling pathway",H02068,Hypochondroplasia
hsa04810,"Regulation of actin cytoskeleton",H02068,Hypochondroplasia
hsa04010,"MAPK signaling pathway",H02069,SADDAN
hsa04014,"Ras signaling pathway",H02069,SADDAN
hsa04015,"Rap1 signaling pathway",H02069,SADDAN
hsa04151,"PI3K-Akt signaling pathway",H02069,SADDAN
hsa04810,"Regulation of actin cytoskeleton",H02069,SADDAN
hsa04010,"MAPK signaling pathway",H02188,"Watson syndrome"
hsa04014,"Ras signaling pathway",H02188,"Watson syndrome"
hsa04010,"MAPK signaling pathway",H02189,"Neurofibromatosis-Noonan syndrome"
hsa04014,"Ras signaling pathway",H02189,"Neurofibromatosis-Noonan syndrome"
hsa04010,"MAPK signaling pathway",H02227,"Frontometaphyseal dysplasia"
hsa04012,"ErbB signaling pathway",H00931,"Growth hormone insensitivity with immunodeficiency"
hsa04062,"Chemokine signaling pathway",H00931,"Growth hormone insensitivity with immunodeficiency"
hsa04630,"JAK-STAT signaling pathway",H00931,"Growth hormone insensitivity with immunodeficiency"
hsa04012,"ErbB signaling pathway",H01102,"Pituitary adenomas"
hsa04110,"Cell cycle",H01102,"Pituitary adenomas"
hsa04210,Apoptosis,H01102,"Pituitary adenomas"
hsa04910,"Insulin signaling pathway",H01102,"Pituitary adenomas"
hsa04012,"ErbB signaling pathway",H02190,"CBL syndrome"
hsa04144,Endocytosis,H02190,"CBL syndrome"
hsa04014,"Ras signaling pathway",H00773,"Autosomal dominant mental retardation"
hsa04024,"cAMP signaling pathway",H00773,"Autosomal dominant mental retardation"
hsa04261,"Adrenergic signaling in cardiomyocytes",H00773,"Autosomal dominant mental retardation"
hsa04728,"Dopaminergic synapse",H00773,"Autosomal dominant mental retardation"
hsa04014,"Ras signaling pathway",H01747,"Costello syndrome"
hsa04014,"Ras signaling pathway",H02410,"Myelodysplastic/myeloproliferative neoplasms"
hsa04014,"Ras signaling pathway",H02411,"Chronic myelomonocytic leukemia"
hsa04014,"Ras signaling pathway",H02412,"Atypical chronic myeloid leukemia"
hsa04020,"Calcium signaling pathway",H00441,"Progressive osseous heteroplasia"
hsa04020,"Calcium signaling pathway",H00699,"Central core disease"
hsa04730,"Long-term depression",H00699,"Central core disease"
hsa04020,"Calcium signaling pathway",H00715,"Darier disease"
hsa04020,"Calcium signaling pathway",H00755,"Acrokeratosis verruciformis"
hsa04020,"Calcium signaling pathway",H00759,"Waardenburg syndrome"
hsa04080,"Neuroactive ligand-receptor interaction",H00759,"Waardenburg syndrome"
hsa04520,"Adherens junction",H00759,"Waardenburg syndrome"
hsa04916,Melanogenesis,H00759,"Waardenburg syndrome"
hsa04916,Melanogenesis,H00759,"Waardenburg syndrome"
hsa04020,"Calcium signaling pathway",H00823,"ABCD syndrome"
hsa04080,"Neuroactive ligand-receptor interaction",H00823,"ABCD syndrome"
hsa04916,Melanogenesis,H00823,"ABCD syndrome"
hsa04020,"Calcium signaling pathway",H00910,"Hirschsprung disease"
hsa04080,"Neuroactive ligand-receptor interaction",H00910,"Hirschsprung disease"
hsa04020,"Calcium signaling pathway",H00937,"Precocious puberty"
hsa04080,"Neuroactive ligand-receptor interaction",H00937,"Precocious puberty"
hsa04912,"GnRH signaling pathway",H00937,"Precocious puberty"
hsa04020,"Calcium signaling pathway",H01019,"Catecholaminergic polymorphic ventricular tachycardia"
hsa04260,"Cardiac muscle contraction",H01019,"Catecholaminergic polymorphic ventricular tachycardia"
hsa04261,"Adrenergic signaling in cardiomyocytes",H01019,"Catecholaminergic polymorphic ventricular tachycardia"
hsa04020,"Calcium signaling pathway",H01129,"Brody myopathy"
hsa04020,"Calcium signaling pathway",H01307,"Nonsyndromic congenital nail disorder"
hsa04070,"Phosphatidylinositol signaling system",H01307,"Nonsyndromic congenital nail disorder"
hsa04310,"Wnt signaling pathway",H01307,"Nonsyndromic congenital nail disorder"
hsa04020,"Calcium signaling pathway",H01310,"Multi-minicore disease"
hsa04730,"Long-term depression",H01310,"Multi-minicore disease"
hsa04020,"Calcium signaling pathway",H01603,"Primary aldosteronism"
hsa04020,"Calcium signaling pathway",H02019,"Familial male-limited precocious puberty"
hsa04917,"Prolactin signaling pathway",H02019,"Familial male-limited precocious puberty"
hsa04020,"Calcium signaling pathway",H02026,"Familial hypocalciuric hypercalcemia"
hsa04961,"Endocrine and other factor-regulated calcium reabsorption",H02026,"Familial hypocalciuric hypercalcemia"
hsa04020,"Calcium signaling pathway",H02258,"Tubular aggregate myopathy"
hsa04611,"Platelet activation",H02258,"Tubular aggregate myopathy"
hsa04020,"Calcium signaling pathway",H02259,"Stormorken syndrome"
hsa04611,"Platelet activation",H02259,"Stormorken syndrome"
hsa04020,"Calcium signaling pathway",H02281,"Isolated anhidrosis with normal sweat glands"
hsa04022,"cGMP-PKG signaling pathway",H01742,"Coronary artery disease"
hsa04310,"Wnt signaling pathway",H01742,"Coronary artery disease"
hsa04024,"cAMP signaling pathway",H01703,"Eating Disorders"
hsa04920,"Adipocytokine signaling pathway",H01703,"Eating Disorders"
hsa04024,"cAMP signaling pathway",H02211,Acrodysostosis
hsa04928,"Parathyroid hormone synthesis, secretion and action",H02211,Acrodysostosis
hsa04024,"cAMP signaling pathway",H02340,"Absorptive hypercalciuria"
hsa04371,"Apelin signaling pathway",H02340,"Absorptive hypercalciuria"
hsa04024,"cAMP signaling pathway",H02389,"Familial dyskinesia with facial myokymia"
hsa04724,"Glutamatergic synapse",H02389,"Familial dyskinesia with facial myokymia"
hsa04725,"Cholinergic synapse",H02389,"Familial dyskinesia with facial myokymia"
hsa04060,"Cytokine-cytokine receptor interaction",H00097,"Chemokine receptor defect"
hsa04060,"Cytokine-cytokine receptor interaction",H00227,"Congenital amegakaryocytic thrombocytopenia"
hsa04060,"Cytokine-cytokine receptor interaction",H00286,"Crohn disease"
hsa04140,Autophagy,H00286,"Crohn disease"
hsa04621,"NOD-like receptor signaling pathway",H00286,"Crohn disease"
hsa04630,"JAK-STAT signaling pathway",H00286,"Crohn disease"
hsa04060,"Cytokine-cytokine receptor interaction",H00344,Leprosy
hsa04141,"Protein processing in endoplasmic reticulum",H00344,Leprosy
hsa04612,"Antigen processing and presentation",H00344,Leprosy
hsa04620,"Toll-like receptor signaling pathway",H00344,Leprosy
hsa04650,"Natural killer cell mediated cytotoxicity",H00344,Leprosy
hsa04060,"Cytokine-cytokine receptor interaction",H00408,"Type 1 diabetes mellitus"
hsa04630,"JAK-STAT signaling pathway",H00408,"Type 1 diabetes mellitus"
hsa04660,"T cell receptor signaling pathway",H00408,"Type 1 diabetes mellitus"
hsa04722,"Neurotrophin signaling pathway",H00408,"Type 1 diabetes mellitus"
hsa04060,"Cytokine-cytokine receptor interaction",H00609,"Persistent Mullerian duct syndrome"
hsa04350,"TGF-beta signaling pathway",H00609,"Persistent Mullerian duct syndrome"
hsa04060,"Cytokine-cytokine receptor interaction",H00632,Heterotaxy
hsa04350,"TGF-beta signaling pathway",H00632,Heterotaxy
hsa04060,"Cytokine-cytokine receptor interaction",H00651,"Hypohidrotic ectodermal dysplasia"
hsa04060,"Cytokine-cytokine receptor interaction",H00935,"Cold-induced sweating syndrome"
hsa04630,"JAK-STAT signaling pathway",H00935,"Cold-induced sweating syndrome"
hsa04060,"Cytokine-cytokine receptor interaction",H01023,"Juvenile polyposis syndrome"
hsa04110,"Cell cycle",H01023,"Juvenile polyposis syndrome"
hsa04310,"Wnt signaling pathway",H01023,"Juvenile polyposis syndrome"
hsa04350,"TGF-beta signaling pathway",H01023,"Juvenile polyposis syndrome"
hsa04520,"Adherens junction",H01023,"Juvenile polyposis syndrome"
hsa04060,"Cytokine-cytokine receptor interaction",H01024,"Hereditary mixed polyposis syndrome"
hsa04350,"TGF-beta signaling pathway",H01024,"Hereditary mixed polyposis syndrome"
hsa04060,"Cytokine-cytokine receptor interaction",H01109,"Chronic mucocutaneous candidiasis"
hsa04062,"Chemokine signaling pathway",H01109,"Chronic mucocutaneous candidiasis"
hsa04145,Phagosome,H01109,"Chronic mucocutaneous candidiasis"
hsa04620,"Toll-like receptor signaling pathway",H01109,"Chronic mucocutaneous candidiasis"
hsa04621,"NOD-like receptor signaling pathway",H01109,"Chronic mucocutaneous candidiasis"
hsa04630,"JAK-STAT signaling pathway",H01109,"Chronic mucocutaneous candidiasis"
hsa04060,"Cytokine-cytokine receptor interaction",H01122,"Congenital pulmonary alveolar proteinosis"
hsa04630,"JAK-STAT signaling pathway",H01122,"Congenital pulmonary alveolar proteinosis"
hsa04060,"Cytokine-cytokine receptor interaction",H01217,"Primary localized cutaneous amyloidosis"
hsa04630,"JAK-STAT signaling pathway",H01217,"Primary localized cutaneous amyloidosis"
hsa04060,"Cytokine-cytokine receptor interaction",H01227,"Inflammatory bowel disease (IBD)"
hsa04140,Autophagy,H01227,"Inflammatory bowel disease (IBD)"
hsa04612,"Antigen processing and presentation",H01227,"Inflammatory bowel disease (IBD)"
hsa04630,"JAK-STAT signaling pathway",H01227,"Inflammatory bowel disease (IBD)"
hsa04060,"Cytokine-cytokine receptor interaction",H01466,"Ulcerative colitis"
