identifier,name,M
DB03214,Vinylglycine,2
DB03215,"(2s,5s)-5-Carboxymethylproline",1
DB03216,"(1'R,2'S)-9-(2-Hydroxy-3'-Keto-Cyclopenten-1-yl)Adenine",1
DB03217,DPI59,1
DB03218,"N-acetyl-N'-beta-D-glucopyranosyl urea",1
DB03219,11-Deoxy-Beta-Rhodomycin,1
DB03220,FR-234938,1
DB03221,AL7099A,1
DB03222,dATP,6
DB03223,Diphthamide,1
DB03224,"2-Formyl-Protoporphryn Ix",1
DB03225,D-Tryptophan,1
DB03226,Trifluoroethanol,3
DB03227,"Nicotinamide Mononucleotide",4
DB03228,"5-[Bis-2(Chloro-Ethyl)-Amino]-2,4-Dintro-Benzamide",1
DB03229,"alpha-Ketoisocaproic acid",2
DB03230,Adenosine-5'-Propylphosphate,1
DB03231,"3-(5-Amino-7-oxo-3,7-dihydro-2H-[1,2,3]triazolo[4,5-d]pyrimidin-2-yl)-N-(2-{[2-(hydroxymethyl)phenyl]sulfanyl}benzyl)benzamide",1
DB03232,"2-[(2e,6e,10e,14e,18e,22e,26e)-3,7,11,15,19,23,27,31-Octamethyldotriaconta-2,6,10,14,18,22,26,30-Octaenyl]Phenol",1
DB03233,"3'-deoxy-3'-aminothymidine monophosphate",1
DB03234,"(4'-{[Allyl(Methyl)Amino]Methyl}-1,1'-Biphenyl-4-Yl)(4-Bromophenyl)Methanone",1
DB03235,N-{3-[4-(3-aminopropyl)piperazin-1-yl]propyl}-3-(alpha-D-galactopyranosyloxy)-5-nitrobenzamide,1
DB03237,"2,3-Dihydroxy-5-Oxo-Hexanedioate",1
DB03238,"3,5-Difluoroaniline",1
DB03240,"(S)-2-Amino-3-(1,3,5,7-Pentahydro-2,4-Dioxo-Cyclopenta[E]Pyrimidin-1-Yl) Proionic Acid",1
DB03241,"1-Amino-1-Carbonyl Pentane",1
DB03242,P-Aminophenyl-Alpha-D-Galactopyranoside,1
DB03243,4-Fluorobenzylamine,1
DB03245,S-4-Nitrobutyryl-CoA,1
DB03246,Beta-L-Arabinose,1
DB03247,"Flavin mononucleotide",47
DB03248,"2-(Phosphonooxy)Butanoic Acid",1
DB03250,"2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Benzothiazole",1
DB03251,RWJ-51084,1
DB03252,D-Lysine,2
DB03253,(2s)-Pyrrolidin-2-Ylmethylamine,1
DB03254,4-Phenyl-1h-Imidazole,1
DB03255,Phenol,2
DB03256,"(6R)-Folinic acid",5
DB03257,"5-[1-(Acetylamino)-3-Methylbutyl]-2,5-Anhydro-3,4-Dideoxy-4-(Methoxycarbonyl)Pentonic Acid",1
DB03258,"2'-Deoxycytidine 5'-triphosphate",4
DB03259,"2',6'-Dichloro-Biphenyl-2,6-Diol",1
DB03260,"Hexamethylene diamine",0
DB03262,"Al-6619, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Hydroxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]",1
DB03264,Dodecyl-Coa,2
DB03267,1-Allyl-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine,1
DB03268,RU82197,1
DB03270,"2,6-Difluorobenzenesulfonamide",1
DB03273,3'-Oxo-Adenosine,1
DB03274,"2',5'-Dideoxyuridine",1
DB03276,"4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid",1
DB03277,alpha-maltotriose,1
DB03278,D-Treitol,1
DB03279,Dodecyl-Alpha-D-Maltoside,1
DB03280,p1-(5'-adenosyl)p5-(5'-thymidyl)pentaphosphate,5
DB03283,beta-L-fucose,1
DB03284,"2,6-Anhydro-3-Deoxy-D-Erythro-Hex-2-Enonic Acid",0
DB03286,"C-(1-Azido-Alpha-D-Glucopyranosyl) Formamide",1
DB03288,"5-Chloro-1h-Indole-2-Carboxylic Acid{[Cyclopentyl-(2-Hydroxy-Ethyl)-Carbamoyl]-Methyl}-Amide",0
DB03289,"Thiarsa Dihydroxy Cysteine",1
DB03290,"L-naphthyl-1-acetamido boronic acid alanine",1
DB03292,3-Phosphono-D-alanine,1
DB03294,"1-Methyl-3-Oxo-1,3-Dihydro-Benzo[C]Isothiazole-5-Sulfonic Acid Amide",1
DB03296,3'-beta-Sialyl-beta-lactose,0
DB03297,"Benzylsulfonic acid",6
DB03298,Phenylphosphate,1
DB03299,"N-Succinyl Phenylglycine",0
DB03300,"Pterin Cytosine Dinucleotide",0
DB03301,2-Allyl-6-Methyl-Phenol,1
DB03304,7-Deaza-7-Aminomethyl-Guanine,1
DB03305,N(G)-Iminoethylornithine,1
DB03306,RU78300,1
DB03307,4-[(6-Amino-4-Pyrimidinyl)Amino]Benzenesulfonamide,1
DB03308,L-Leucyl-Hydroxylamine,1
DB03309,N-cyclohexyltaurine,6
DB03310,"Glutathione disulfide",23
DB03311,"3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid [4-(Thiazol-2-Ylsulfamoyl)-Phenyl]-Amide",1
DB03312,Brivudine,2
DB03313,"Cephalosporin C",3
DB03314,5-fluorotryptophan,2
DB03315,"Guanosine 3'-monophosphate",2
DB03316,"1,4-Dioxane",5
DB03317,"Ferroheme C",22
DB03319,"(2S)-2-Ammonio-3-[5-(2-methyl-2-propanyl)-3-oxido-1,2-oxazol-4-yl]propanoate",1
DB03320,3-Amino-Alanine,1
DB03321,"Des(carbamimidoyl) zanamivir",1
DB03323,Maltose,8
DB03325,Tyrosyladenylate,1
DB03326,"Deoxycytidylyl-3',5'-guanosine",1
DB03327,"{1-[(3-Hydroxy-Methyl-5-Phosphonooxy-Methyl-Pyridin-4-Ylmethyl)-Amino]-Ethyl}-Phosphonic Acid",1
DB03328,Dioxo(sulfanyl)molybdenum,1
DB03329,2-Pyridinethiol,1
DB03330,S-(N-hydroxy-N-iodophenylcarbamoyl)glutathione,1
DB03331,"N-naphthalen-1-ylmethyl-2'-[3,5-dimethoxybenzamido]-2'-deoxy-adenosine",1
DB03332,"5,6-Cyclic-Tetrahydropteridine",1
DB03333,"(4-sulfamoyl-phenyl)-thiocarbamic acid O-(2-thiophen-3-yl-ethyl) ester",1
DB03335,(+)-1-bromo-2-propanol,0
DB03336,BIA,1
DB03337,1-(2-Amidinophenyl)-3-(Phenoxyphenyl)Urea,1
DB03338,"Heptyl glucoside",2
DB03340,"3-[(1-Amino-2-Carboxy-Ethyl)-Hydroxy-Phosphinoyl]-2-Methyl-Propionic Acid",1
DB03341,"CoA-S-acetyl 5-bromotryptamine",1
DB03342,"4-(Acetylamino)-3-Guanidinobenzoic Acid",1
DB03343,"Malate Like Intermediate",1
DB03344,"Inositol-(1,3,4,5,6)-Pentakisphosphate",1
DB03345,Mercaptoethanol,9
DB03346,"3,3',5,5'-tetrachlorobiphenyl-4,4'-diol",1
DB03347,"Triethyl phosphate",3
DB03348,"Huperzine B",1
DB03349,8-Bromo-Adenosine-5'-Monophosphate,2
DB03350,"Cobalt hexammine ion",2
DB03351,Sri-9439,1
DB03352,S-Arsonocysteine,2
DB03353,2-Iminobiotin,1
DB03354,"2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Oxadiazole",1
DB03355,5'-O-(L-Threonylsulfamoyl)adenosine,2
DB03357,"(S)-Mandelic acid",1
DB03358,"7-Methyl-7,8-dihydroguanosine 5'-(tetrahydrogen triphosphate)",1
DB03359,"M-(N,N,N-Trimethylammonio)-2,2,2-Trifluoro-1,1-Dihydroxyethylbenzene",1
DB03360,N-Acetylproline,1
DB03361,"2-{(9as)-9a-[(1s)-1-Hydroxyethyl]-2,7-Dimethyl-9a,10-Dihydro-5h-Pyrimido[4,5-D][1,3]Thiazolo[3,2-a]Pyrimidin-8-Yl}Ethyl Trihydrogen Diphosphate",1
DB03363,"3-Acetylpyridine Adenine Dinucleotide",1
DB03364,N-Carbamyl-D-Methionine,1
DB03365,"4-[3-Hydroxyanilino]-6,7-Dimethoxyquinazoline",1
DB03366,Imidazole,26
DB03367,PF-00356231,1
DB03368,"5-Methyl-5-(4-Phenoxy-Phenyl)-Pyrimidine-2,4,6-Trione",1
DB03369,9-Aminophenanthrene,1
DB03370,FR239087,1
DB03371,"Modified Ribosylated Glutamyl Ester",0
DB03372,"3-Mercapto-1-(1,3,4,9-Tetrahydro-B-Carbolin-2-Yl)-Propan-1-One",1
DB03373,ZK-806711,1
DB03374,"3,5-Diiodotyrosine",5
DB03376,5'-O-(N-(Alanyl)sulfamoyl)adenosine,1
DB03379,"2-Carboxyethylphosphonic Acid",1
DB03380,L-tyrosinamide,2
DB03381,Hexadecanal,2
DB03382,S-oxy-L-cysteine,5
DB03383,CP-320626,1
DB03384,Fica,1
DB03385,4-Methylimidazole,3
DB03388,"3-[(2,4-Dichlorobenzoyl)(Isopropyl)Amino]-5-Phenylthiophene-2-Carboxylic Acid",1
DB03389,alpha-D-Xylopyranose,11
DB03390,"(2R,3R)-2,3-Dihydroxy-4-oxo-4-(propylamino)butanoic acid",1
DB03392,"(3,4,5-Trihydroxy-6-Hydroxymethyl-Tetrahydro-Pyran-2-Yl)-Phosphoramidic Acid Dimethyl Ester",1
DB03393,"Sanglifehrin A",1
DB03394,"Heptaethylene glycol",1
DB03395,Enalkiren,1
DB03396,"(2R,3R,4S,5R,6E)-3,4,5-Trihydroxy-N-[(3S,6R)-6-hydroxy-2-oxo-3-azepanyl]-2-methoxy-8,8-dimethyl-6-nonenamide",1
DB03397,Uridine-Diphosphate-N-Acetylglucosamine,8
DB03399,"Ethyl Isocyanide",1
DB03400,"3-(P-Tolyl)Propionic Acid",1
DB03401,"1D-myo-inositol 1,4,5-trisphosphate",7
DB03403,Cytidine-5'-Monophosphate,8
DB03405,N2-[(Benzyloxy)carbonyl]-N-[(3R)-1-{N-[(benzyloxy)carbonyl]-L-leucyl}-4-oxo-3-pyrrolidinyl]-L-leucinamide,1
DB03408,gamma-Glutamylcysteine,1
DB03410,4-hydroxycoumarin,1
DB03411,"2-Hydroxymethyl-Pyrrolidine-3,4-Diol",1
DB03412,6-hydroxynorleucine,1
DB03413,Deoxyuridine-5'-Diphosphate,4
DB03414,5-Thio-a/B-D-Mannopyranosylamine,1
DB03415,3-thiaoctanoyl-CoA,1
DB03416,"Thiamine(1+) monophosphate",1
DB03417,"(2S,3R)-2-[[4-(Tert-butylcarbamoyl)piperazine-1-carbonyl]amino]-6-(diaminomethylideneamino)-3-formylhexanoic acid",1
DB03419,Uracil,7
DB03420,"2,4-deoxy-4-guanidino-5-N-acetyl-neuraminic acid",1
DB03421,"2-Phenethyl-2,3-Dihydro-Phthalazine-1,4-Dione",1
DB03423,S-Adenosyl-L-Homoselenocysteine,1
DB03424,Ubenimex,2
DB03425,"2s,4r-4-Methylglutamate",1
DB03428,SU9516,3
DB03429,"Tetrastearoyl cardiolipin",1
DB03430,(S)-4-hydroxymandelonitrile,1
DB03433,"{3-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Amino]-2-Methyl-Propyl}-Phosphonic Acid",1
DB03434,"3-(N-morpholino)propanesulfonic acid",3
DB03435,Uridine-5'-Diphosphate,14
DB03436,Gallichrome,1
DB03437,"(2R,4S)-2-[(1R)-1-{[(2Z)-2-(2-Amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetyl]amino}-2-oxoethyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid",1
DB03439,"4,6-dideoxy-4-amino-alpha-D-glucose",1
DB03440,N-hexadecanoylglycine,1
DB03441,"2-Benzyl-3-Iodopropanoic Acid",1
DB03442,"Acid yellow 54 free acid",1
DB03443,"bis(5-amidino-benzimidazolyl)methanone zinc",1
DB03444,6-bromoindirubin-3'-oxime,1
DB03445,"(3S)-3-(dioxidosulfanyl)-N-[(1E)-3-oxoprop-1-en-1-yl]-4-(1H-1,2,3-triazol-1-yl)-D-valine",1
DB03446,N-Benzyl-3-(alpha-D-galactopyranosyloxy)benzamide,1
DB03447,Uridylyl-2'-5'-phospho-adenosine,1
DB03448,"2'-Deoxyuridine 3'-Monophosphate",2
DB03449,N-(4-{2-[(3-chlorobenzyl)amino]ethyl}phenyl)thiophene-2-carboximidamide,2
DB03450,"Cephalothin Group",2
DB03451,Lexacalcitol,1
DB03452,"3-Trimethylsilylsuccinic Acid",1
DB03453,"Methyl (2S)-2-[[2-[(3R)-1-carbamimidoylpiperidin-3-yl]acetyl]amino]-3-[4-(2-phenylethynyl)phenyl]propanoate",1
DB03454,"3-methyl-benzene-1,2-diol",1
DB03455,"(1H-indol-3-yl)-(2-mercapto-ethoxyimino)-acetic acid",1
DB03456,N2-[(benzyloxy)carbonyl]-n1-[(3S)-1-cyanopyrrolidin-3-yl]-l-leucinamide,1
DB03459,"Sparfosic acid",2
DB03461,"Nicotinamide adenine dinucleotide phosphate",55
DB03462,Thymine,2
DB03464,Formycin-5'-Monophosphate,1
DB03466,BMS184394,1
DB03467,Naringenin,8
DB03468,"1,2,3,4-Tetrahydro-Isoquinoline-7-Sulfonic Acid Amide",1
DB03469,"Heme D",2
DB03470,Trypanothione,1
DB03471,"6-phenyl-4(R)-(7-phenyl-heptanoylamino)-hexanoic acid",1
DB03472,Cyclohexyl-Hexyl-Beta-D-Maltoside,2
DB03473,N5-Methylglutamine,1
DB03475,"1-[4-Carboxy-2-(3-Pentylamino)Phenyl]-5,5'-Di(Hydroxymethyl)Pyrrolidin-2-One",1
DB03476,Trans-6-(2-Phenylcyclopropyl)-Naphthalene-2-Carboxamidine,1
DB03477,1-Phenylsulfonamide-3-Trifluoromethyl-5-Parabromophenylpyrazole,1
DB03478,"2'-O-Acetyl Adenosine-5-Diphosphoribose",1
DB03479,"8,9,10-trihydroxy-7-hydroxymethyl-3-methyl-6-oxa-1,3-diaza-spiro[4.5]decane-2,4-dione",1
DB03480,"Brequinar Analog",1
DB03481,"5,10-Dimethylene Tetrahydromethanopterin",1
DB03482,8-demethyl-8-dimethylamino-flavin-adenine-dinucleotide,1
DB03483,"(4S)-5-[[(2S)-1-[[(2S)-1-Amino-3-[4-[difluoro(phosphono)methyl]phenyl]-1-oxopropan-2-yl]amino]-3-[4-[difluoro(phosphono)methyl]phenyl]-1-oxopropan-2-yl]amino]-4-benzamido-5-oxopentanoic acid",1
DB03484,sn-glycero-3-phosphoethanolamine,1
DB03485,alpha-D-Fucopyranose,2
DB03486,"Phosphomethylphosphonic acid guanosyl ester",1
DB03487,(S)-Aspartimide,2
DB03488,Uridine-5'-diphosphate-2-deoxy-2-fluoro-alpha-D-galactose,1
DB03489,2-Keto-3-Deoxygluconate,0
DB03490,"3-Pyridin-4-Yl-2,4-Dihydro-Indeno[1,2-.C.]Pyrazole",1
DB03491,2'-Deoxyguanosine-5'-Diphosphate,1
DB03492,"lambda-bis(2,2'-bipyridine)imidazole osmium (II)",1
DB03493,7-Methylguanosine,1
DB03495,"4,6-Dideoxy-4-{[4,5,6-Trihydroxy-3-(Hydroxymethyl)Cyclohex-2-En-1-Yl]Amino}-Alpha-D-Lyxo-Hexopyranosyl-(1->4)-Alpha-D-Threo-Hexopyranosyl-(1->6)-Alpha-L-Threo-Hexopyranose",1
DB03496,Alvocidib,11
DB03498,"Mercaptomethyl Phosphonate",1
DB03499,"D-Malic acid",5
DB03500,"Tricosanoic acid",1
DB03501,Galactose-uridine-5'-diphosphate,3
DB03502,(4s)-4-{[(2s)-2-Amino-3-Oxopropyl]Sulfanyl}-L-Homoserinate,1
DB03503,"4-Acetyl-4-guanidino-6-methyl(propyl)carboxamide-4,5-dihydro-2H-pyran-2-carboxylic acid",1
DB03504,"9-Butyl-8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9h-Purin-6-Ylamine",1
DB03505,"2,6-diaminoquinazolin-4-ol",1
DB03506,9-Deazaadenine,1
DB03507,"6-[3-(4-Morpholinyl)Propyl]-2-(3-Nitrophenyl)-5-Thioxo-5,6,-Dihydro-7h-Thienol[2',3':4,5]Pyrrolo[1,2-C]Imidazol-7-One",1
DB03509,2-(4-Chlorophenyl)-5-Quinoxalinecarboxamide,1
DB03510,"6-O-Phosphoryl Inosine Monophosphate",2
DB03512,"Uridine-2',3'-vanadate",1
DB03515,Equilenin,2
DB03516,Eniluracil,3
DB03517,[Methylthio]Acetate,1
DB03518,"Mevalonic acid",1
DB03522,"Aspartic Acid-4-Carboxymethyl Ester",1
DB03523,Brequinar,1
DB03524,"N-[3-[4-(3-aminopropyl)piperazin-1-yl]propyl]-3-[(2-thiophen-2-ylacetyl)amino]-5-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybenzamide",1
DB03525,RU79073,1
DB03526,AL5927,1
DB03528,9-Beta-D-Xylofuranosyl-Adenine,1
DB03530,"Acylated ceftazidime",2
DB03531,"Flavin-adenine dinucleotide-N5-isobutyl ketone",1
DB03532,"Phosphomethylphosphonic acid guanylate ester",1
DB03533,Acetyleneurea,1
DB03534,3-[(Acetyl-Methyl-Amino)-Methyl]-4-Amino-N-Methyl-N-(1-Methyl-1h-Indol-2-Ylmethyl)-Benzamide,1
DB03535,Z-Pro-Prolinal,1
DB03536,"Benzyl N-[(2S)-5-(diaminomethylamino)-1-[[(2S)-4-fluoro-3-oxobutan-2-yl]amino]-1-oxopentan-2-yl]carbamate",2
DB03539,2-(Acetylamino)-2-Deoxy-6-O-Methyl-Alpha-D-Allopyranose,1
DB03540,Norcamphor,1
DB03541,"10-Propargyl-5,8-Dideazafolic Acid",6
DB03542,L-Myo-Inositol-1-Phosphate,1
DB03543,1-(O-Carboxy-Phenylamino)-1-Deoxy-D-Ribulose-5-Phosphate,2
DB03544,S-Phosphocysteine,2
DB03546,"N-({4-[(1R)-4-[(2R,4S,5S)-2,4-diamino-6-oxohexahydropyrimidin-5-yl]-1-(2,2,2-trifluoro-1,1-dihydroxyethyl)butyl]phenyl}carbonyl)-L-glutamic acid",1
DB03548,"3-deoxy-alpha-D-manno-oct-2-ulopyranosonic acid",1
DB03549,"Biotinyl P-Nitroaniline",1
DB03551,"(3R,4R)-3-Hydroxy-4-(hydroxymethyl)-1-[(4-oxo-4,4a,5,7a-tetrahydro-3H-pyrrolo[3,2-d]pyrimidin-7-yl)methyl]pyrrolidinium",2
DB03552,3-Tyrosine,1
DB03553,"Glutaric Acid",3
DB03554,5-Iodouracil,1
DB03555,CRA_11092,1
DB03556,"2-(2-{2-[2-(2-{2-[2-(2-Ethoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethanol, Polyethyleneglycol Peg400",1
DB03557,"4-[[(2S)-1-[[6-[(1-Amino-1-oxo-3-sulfanylpropan-2-yl)amino]-6-oxohexyl]amino]-3-[4-[difluoro(phosphono)methyl]phenyl]-1-oxopropan-2-yl]amino]-3-[[2-[4-[difluoro(phosphono)methyl]phenyl]acetyl]amino]-4-oxobutanoic acid",1
DB03558,SP-876,1
DB03559,Cyclohexylformamide,2
DB03562,Tetrahydrodeoxyuridine,1
DB03564,"(4r)-2-Methylpentane-2,4-Diol",1
DB03565,1-O-Octyl-2-Heptylphosphonyl-Sn-Glycero-3-Phosphoethanolamine,1
DB03566,Spermidine,5
DB03568,"Butyric Acid",2
DB03569,"4,5-Dehydro-L-Iduronic Acid",1
DB03570,Tris-Hydroxymethyl-Methyl-Ammonium,3
DB03571,"3-(5-amino-7-hydroxy-[1,2,3]triazolo[4,5-d]pyrimidin-2-yl)-N-(3,5-dichlorobenzyl)-benzamide",1
DB03572,FR230513,1
DB03573,WRR-99,2
DB03574,Ferricrocin-iron,1
DB03575,Phencyclidine,2
DB03576,N-Pyridoxyl-Threonine-5-Monophosphate,0
DB03577,"Alpha-Benzyl-Aminobenzyl-Phosphonic Acid",1
DB03581,Glucose-6-Phosphate,2
DB03582,N~2~-Succinylornithine,1
DB03583,"(2E,3S)-3-hydroxy-5'-[(4-hydroxypiperidin-1-yl)sulfonyl]-3-methyl-1,3-dihydro-2,3'-biindol-2'(1'H)-one",1
DB03584,4-Thio-beta-D-glucopyranose,3
DB03585,Oxyphenbutazone,1
DB03586,"(3R,4R,5S,6R)-6-Fluoro-3,4,5-trihydroxytetrahydro-2H-pyran-2-olate",1
DB03587,Pyruvaldehyde,1
DB03588,"Diphenylacetic acid",1
DB03589,"Mesoxalic acid",1
DB03590,"2,6-Diaminopimelic Acid",2
DB03591,RU82209,1
DB03592,Pterin-6-Yl-Methyl-Monophosphate,1
DB03593,"7-methyl-5'-guanylic acid",1
DB03594,"1,2,4-Triazole",1
DB03595,CRA_9785,1
DB03596,N-[2-(1h-Indol-5-Yl)-Butyl]-4-Sulfamoyl-Benzamide,1
DB03597,gamma-Glutamyl[S-(2-iodobenzyl)cysteinyl]glycine,3
DB03598,"Al-6629, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Methoxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]",1
DB03600,"Capric acid",6
DB03602,S-benzylglutathione,2
DB03603,"Glucaric acid",1
DB03604,Tiratricol,1
DB03605,"(2s)-2-[(2,4-Dichloro-Benzoyl)-(3-Trifluoromethyl-Benzyl)-Amino]-3-Phenyl-Propionic Acid",1
DB03606,(S)-Rolipram,2
DB03607,[(1R)-1-acetamido-2-(4-chlorophenyl)ethyl]-[(2S)-2-amino-3-hydroxy-3-oxo-propoxy]-dihydroxy-boron,1
DB03608,Diminazene,4
DB03609,3'-deoxyguanosine,1
DB03611,"L-2-amino-4-methoxy-cis-but-3-enoic acid",1
DB03612,"3-Hydroxybutyryl-Coenzyme A",1
DB03613,"4-hydroxyphenacyl coenzyme A",2
DB03614,Mecobalamin,1
DB03615,Ribostamycin,4
DB03616,"Kabiramide C",1
DB03619,"Deoxycholic acid",10
DB03621,"L-709,587",1
DB03622,"5-[4-(2-Hydroxyethyl)-1-piperidinyl]-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione",1
DB03623,"9-(4-Hydroxyphenyl)-2,7-Phenanthroline",1
DB03624,"7-(Carboxyamino)-8-Amino-Nonanoic Acid",1
DB03626,"5-Methoxy-1,2-Dimethyl-3-(Phenoxymethyl)Indole-4,7-Dione",1
DB03627,Adamantane,1
DB03628,ISO24,1
DB03629,Pyridoxal-5'-Phosphate-N-Oxide,1
DB03631,"3-(4-hydroxy-3-imino-6-oxo-cyclohexa-1,4-dienyl)-alanine",1
DB03632,Argifin,2
DB03633,Lpc-Ether,2
DB03635,"Ethanesulfonic acid",2
DB03636,Glycinamide,1
DB03637,Guanidine-3-propanol,1
DB03639,1-Guanidinium-7-Aminoheptane,1
DB03640,"Beta-Hydroxyaspartic Acid",1
DB03641,"2'-deoxyuridine 5'-alpha,beta-imido-diphosphate",0
DB03642,N-[(2S)-4-Methyl-1-oxo-1-{[(4S)-3-oxo-1-(2-pyridinylsulfonyl)-4-azepanyl]amino}-2-pentanyl]-1-benzofuran-2-carboxamide,1
DB03643,CRA_1144,2
DB03644,"3-hydroxyanthranilic acid",1
DB03645,"Phosphonoacetohydroxamic Acid",1
DB03647,"3-[Isopropyl(4-Methylbenzoyl)Amino]-5-Phenylthiophene-2-Carboxylic Acid",1
DB03648,"(2S,2'S)-2,2'-(1,2-Hydrazinediylbis{methylene[(2S)-1-oxo-2,1-hexanediyl]imino})bis(6-amino-N-phenylhexanamide)",0
DB03649,"[{(5-Chloro-2-Pyridinyl)Amino} Methylene]-1,1-Bisphosphonate",1
DB03650,(3e)-3-[(4-Hydroxyphenyl)Imino]-1h-Indol-2(3h)-One,1
DB03651,"Picric acid",0
DB03652,"beta-D-Galactopyranuronic acid",0
DB03654,"S,S-Propylthiocysteine",2
DB03657,1-deoxy-1-methoxycarbamido-beta-D-glucopyranose,1
DB03658,"(2R,4S)-2-[(1R)-1-{[(2R)-2-Amino-2-(4-hydroxyphenyl)acetyl]amino}-2-oxoethyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid",1
DB03659,Butylamine,1
DB03660,4-Iodo-L-phenylalanine,4
DB03661,"L-cysteic acid",11
DB03662,"Vitamin B6 Complexed with 2-Amino-Pentanoic Acid",1
DB03663,"1-[(2-Amino-6,9-Dihydro-1h-Purin-6-Yl)Oxy]-3-Methyl-2-Butanol",1
DB03664,P1-(adenosine-5'-P5-(uridine-5')pentaphosphate,1
DB03666,"Zidovudine monophosphate",2
DB03667,"Acetic Acid Salicyloyl-Amino-Ester",1
DB03668,"6-oxouridine 5'-phosphate",1
DB03669,"4-Fluorophenethyl Alcohol",1
DB03670,"2-(Oxalyl-Amino)-4,5,6,7-Tetrahydro-Thieno[2,3-C]Pyridine-3-Carboxylic Acid",1
DB03672,9-N-Phenylmethylamino-Tacrine,1
DB03673,beta-2-Thienyl-L-alanine,1
DB03676,"Cystein-S-Yl Cacodylate",1
DB03677,N-Cyclohexyl-N'-Decylurea,1
DB03679,2-Hydroxy-Tryptophan,1
DB03680,Tartronate,2
DB03683,"2-{[Formyl(Hydroxy)Amino]Methyl}-4-Methylpentanoic Acid",1
DB03685,"Uridine monophosphate",13
DB03686,S-(4-nitrobenzyl)glutathione,1
DB03687,"4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol",3
DB03688,"Hydracrylic acid",1
DB03690,"(Z,Z)-4-Hydroxy-N,N,N-Trimethyl-10-Oxo-7-[(1-Oxo-9-Octadecenyl)Oxy]-3,5,9-Trioxa-4-Phosphaheptacos-18-En-1-Aminium-4-Oxide",1
DB03691,WRR-112,2
DB03692,1-Hexadecanosulfonyl-O-L-Serine,1
DB03693,N-(2-Aminoethyl)-5-Chloroisoquinoline-8-Sulfonamide,1
DB03695,Piritrexim,1
DB03696,Lanosterol,1
DB03697,4-Sulfonamide-[1-(4-Aminobutane)]Benzamide,1
DB03698,"5-Mercaptoethanol-2-decenoyl-coenzyme A",1
DB03699,"Succinyl-Coenzyme A",1
DB03700,D-Threonine,1
DB03701,Vanoxerine,1
DB03702,"N-{4-[(Carboxymethyl)carbamoyl]benzoyl}-L-valyl-N-[(3S)-1,1,1-trifluoro-4-methyl-2-oxo-3-pentanyl]-L-prolinamide",1
DB03703,Cyclohexanol,1
DB03704,"12-Hydroxydodecanoic Acid",1
DB03705,6-Methylamino-5-Nitroisocytosine,0
DB03706,1-Hydroxy-2-S-glutathionyl-3-para-nitrophenoxy-propane,1
DB03707,S-Ethyl-N-Phenyl-Isothiourea,2
DB03708,"Adenosine 5'-phosphosulfate",1
DB03709,Bicine,3
DB03710,[(1S)-4-(1-Aminobutylideneamino)-1-carboxybutyl]azanium,1
DB03711,6-Hydroxy-6-Methyl-Heptan-3-One,1
DB03712,RU85053,1
DB03714,"4-Carbamoyl-4-{[6-(Difluoro-Phosphono-Methyl)-Naphthalene-2-Carbonyl]-Amino}-Butyric Acid",1
DB03716,5'-Fluoro-5'-Deoxyadenosine,1
DB03717,"3-Hydroxy-4-(3,4,5-trihydroxy-tetrahydro-pyran-2-yloxy)-piperidin-2-one",1
DB03719,"N-Ethyl-5'-Carboxamido Adenosine",1
DB03721,"N-acetyl-alpha-neuraminic acid",16
DB03722,"3,4-Dihydro-5-Methyl-Isoquinolinone",1
DB03723,2'-Deoxy-Thymidine-Beta-L-Rhamnose,1
DB03725,5'-Guanylylmethylenebisphosphonate,1
DB03726,"Purine Riboside-5'-Monophosphate",1
DB03727,"Coproporphyrin I",1
DB03728,"p-Chlorobenzoic acid",0
DB03729,2-Amino-1H-benzimidazol-5-ol,1
DB03730,"3,9-Dimethyladenine",0
DB03731,S-2-(Boronoethyl)-L-Cysteine,2
DB03732,Etheno-Nadp,1
